id_sector,Year,Month,Sector,Issued,Refused,Withdrawn
2014JanAgriculture_&_Fisheries,2014,Jan,Agriculture & Fisheries,3,3,0
2014JanCatering,2014,Jan,Catering,18,2,0
2014JanDomestic,2014,Jan,Domestic,2,1,0
2014JanEducation,2014,Jan,Education,6,1,0
2014JanEntertainment,2014,Jan,Entertainment,7,0,0
2014JanExchange_Agreements,2014,Jan,Exchange Agreements,2,0,0
2014JanIndustry,2014,Jan,Industry,121,14,0
2014JanMedical_&_Nursing,2014,Jan,Medical & Nursing,35,5,0
2014JanService_Industry,2014,Jan,Service Industry,254,38,2
2014JanSport,2014,Jan,Sport,1,0,0
2014FebAgriculture_&_Fisheries,2014,Feb,Agriculture & Fisheries,1,0,0
2014FebCatering,2014,Feb,Catering,15,6,1
2014FebDomestic,2014,Feb,Domestic,2,0,0
2014FebEducation,2014,Feb,Education,4,2,0
2014FebEntertainment,2014,Feb,Entertainment,2,1,0
2014FebIndustry,2014,Feb,Industry,54,2,1
2014FebMedical_&_Nursing,2014,Feb,Medical & Nursing,39,26,1
2014FebService_Industry,2014,Feb,Service Industry,182,13,4
2014FebSport,2014,Feb,Sport,3,0,0
2014MarAgriculture_&_Fisheries,2014,Mar,Agriculture & Fisheries,3,1,0
2014MarCatering,2014,Mar,Catering,13,6,1
2014MarDomestic,2014,Mar,Domestic,0,1,0
2014MarEducation,2014,Mar,Education,11,1,0
2014MarEntertainment,2014,Mar,Entertainment,0,1,0
2014MarIndustry,2014,Mar,Industry,82,15,2
2014MarMedical_&_Nursing,2014,Mar,Medical & Nursing,66,20,0
2014MarService_Industry,2014,Mar,Service Industry,174,16,2
2014MarSport,2014,Mar,Sport,4,0,0
2014AprAgriculture_&_Fisheries,2014,Apr,Agriculture & Fisheries,3,1,0
2014AprCatering,2014,Apr,Catering,8,9,0
2014AprEducation,2014,Apr,Education,4,1,0
2014AprEntertainment,2014,Apr,Entertainment,1,0,0
2014AprIndustry,2014,Apr,Industry,67,5,0
2014AprMedical_&_Nursing,2014,Apr,Medical & Nursing,84,9,6
2014AprService_Industry,2014,Apr,Service Industry,143,25,2
2014AprSport,2014,Apr,Sport,3,0,0
2014MayAgriculture_&_Fisheries,2014,May,Agriculture & Fisheries,1,3,0
2014MayCatering,2014,May,Catering,15,4,0
2014MayDomestic,2014,May,Domestic,1,0,0
2014MayEducation,2014,May,Education,1,1,0
2014MayExchange_Agreements,2014,May,Exchange Agreements,2,0,0
2014MayIndustry,2014,May,Industry,97,3,1
2014MayMedical_&_Nursing,2014,May,Medical & Nursing,87,7,2
2014MayService_Industry,2014,May,Service Industry,178,13,2
2014MaySport,2014,May,Sport,2,0,0
2014JunAgriculture_&_Fisheries,2014,Jun,Agriculture & Fisheries,11,1,0
2014JunCatering,2014,Jun,Catering,5,6,0
2014JunDomestic,2014,Jun,Domestic,0,1,0
2014JunEducation,2014,Jun,Education,3,0,1
2014JunEntertainment,2014,Jun,Entertainment,2,0,4
2014JunIndustry,2014,Jun,Industry,132,4,6
2014JunMedical_&_Nursing,2014,Jun,Medical & Nursing,217,14,2
2014JunService_Industry,2014,Jun,Service Industry,215,9,5
2014JunSport,2014,Jun,Sport,5,0,0
2014JulAgriculture_&_Fisheries,2014,Jul,Agriculture & Fisheries,2,5,0
2014JulCatering,2014,Jul,Catering,27,11,1
2014JulDomestic,2014,Jul,Domestic,4,1,0
2014JulEducation,2014,Jul,Education,21,1,1
2014JulEntertainment,2014,Jul,Entertainment,3,0,0
2014JulExchange_Agreements,2014,Jul,Exchange Agreements,4,0,0
2014JulIndustry,2014,Jul,Industry,140,11,2
2014JulMedical_&_Nursing,2014,Jul,Medical & Nursing,341,18,16
2014JulService_Industry,2014,Jul,Service Industry,337,24,2
2014JulSport,2014,Jul,Sport,8,1,0
2014AugAgriculture_&_Fisheries,2014,Aug,Agriculture & Fisheries,2,1,0
2014AugCatering,2014,Aug,Catering,25,3,0
2014AugDomestic,2014,Aug,Domestic,2,0,1
2014AugEducation,2014,Aug,Education,12,0,0
2014AugEntertainment,2014,Aug,Entertainment,9,0,0
2014AugExchange_Agreements,2014,Aug,Exchange Agreements,1,0,0
2014AugIndustry,2014,Aug,Industry,70,1,1
2014AugMedical_&_Nursing,2014,Aug,Medical & Nursing,128,2,10
2014AugService_Industry,2014,Aug,Service Industry,240,7,3
2014AugSport,2014,Aug,Sport,4,0,0
2014SepAgriculture_&_Fisheries,2014,Sep,Agriculture & Fisheries,5,0,0
2014SepCatering,2014,Sep,Catering,42,5,1
2014SepDomestic,2014,Sep,Domestic,1,1,0
2014SepEducation,2014,Sep,Education,18,0,0
2014SepEntertainment,2014,Sep,Entertainment,3,0,0
2014SepExchange_Agreements,2014,Sep,Exchange Agreements,1,1,0
2014SepIndustry,2014,Sep,Industry,184,3,6
2014SepMedical_&_Nursing,2014,Sep,Medical & Nursing,114,7,23
2014SepService_Industry,2014,Sep,Service Industry,446,9,8
2014SepSport,2014,Sep,Sport,7,0,0
2014OctCatering,2014,Oct,Catering,0,1,0
2014OctIndustry,2014,Oct,Industry,1,0,0
2014OctMedical_&_Nursing,2014,Oct,Medical & Nursing,1,0,0
2014OctService_Industry,2014,Oct,Service Industry,3,1,0
2014OctSport,2014,Oct,Sport,2,0,0
2014NovCatering,2014,Nov,Catering,6,6,1
2014NovDomestic,2014,Nov,Domestic,1,1,0
2014NovEducation,2014,Nov,Education,5,0,0
2014NovEntertainment,2014,Nov,Entertainment,1,0,0
2014NovExchange_Agreements,2014,Nov,Exchange Agreements,2,0,0
2014NovIndustry,2014,Nov,Industry,72,11,10
2014NovMedical_&_Nursing,2014,Nov,Medical & Nursing,97,9,2
2014NovService_Industry,2014,Nov,Service Industry,159,19,4
2014DecAgriculture_&_Fisheries,2014,Dec,Agriculture & Fisheries,1,1,0
2014DecCatering,2014,Dec,Catering,5,9,0
2014DecEducation,2014,Dec,Education,0,3,0
2014DecIndustry,2014,Dec,Industry,143,18,0
2014DecMedical_&_Nursing,2014,Dec,Medical & Nursing,225,10,6
2014DecService_Industry,2014,Dec,Service Industry,179,19,1
2014DecSport,2014,Dec,Sport,3,0,0
