Year,Company,Total
2014,123 Money Ltd,1
2014,3 Leaves Technology Ltd.,1
2014,3Rd Dimension,1
2014,A Aabound Limited,1
2014,Abbey Breaffy Nursing Home Ltd,1
2014,Abbey Lands Nursing Home And Alzheimers Unit Limited,2
2014,Abbott Ireland,7
2014,Abbott Mature Products Management Ltd,1
2014,Abbvie Ireland Nl Bv,8
2014,Abbvie Ltd.,1
2014,Abcon Industrial Products Ltd,2
2014,Academic Bridge Limited,1
2014,Academy Of Financial Trading Edctn Ltd,1
2014,Academy Of Financial Trading Education Ltd,3
2014,Accenture,66
2014,Accenture Llp,2
2014,Accenture(Ifsc),4
2014,Accipiter Holdings Limited,1
2014,Accountancy & Business College (Ireland) Limited,1
2014,Accountancy Professionals Ltd,1
2014,Accts & Tech Limited,1
2014,Ace Bermuda International (Insurance) Ireland Ltd,1
2014,Acell Industries Ltd,1
2014,Acorn Direct Marketing Limited,1
2014,Action Point Innovation Ltd.,1
2014,Activation Energy Dsu Ltd,1
2014,Adalma Ltd.,2
2014,Adaptive Hvm Limited,3
2014,Adara Media,1
2014,Adcila Limited,1
2014,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,32
2014,Adroll Advertising Limited,10
2014,Adt Fire & Security Ltd,1
2014,Aegis Media Ireland Limited,4
2014,Aercap Ireland Limited,9
2014,Aero Inspection Ireland Limited,1
2014,Aeroflex Ireland Limited,2
2014,Affero Lab Ireland Ltd.,3
2014,Afilias Technologies Limited,1
2014,Agb Nielsen Media Research Ireland Limited,1
2014,Ahmad Hasan,1
2014,Ai Chun Chen,1
2014,Aig Europe Limited,1
2014,Ailesbury I.T. Limited,2
2014,Airbnb Ireland Ltd,10
2014,Ak & Ka Ventures Limited,2
2014,Al Buraq Traders Ltd,1
2014,Alcatel-Lucent Ireland Ltd,10
2014,Aldi Stores Ireland Ltd.,1
2014,Ali Akbar,1
2014,Ali Shaukat,1
2014,Alig'S Limited,2
2014,Allanbay Ltd,2
2014,Allen Creative Limited,1
2014,Allenfield Care Homes Limited,1
2014,Allenfield Care Homes Ltd T/A Innis Ree Lodge,1
2014,Alliance Medical Diagnostic Imaging Ltd,1
2014,Allianz Ireland Plc.,1
