id_county,Year,County,Issued,Refused,Withdrawn
2014Carlow,2014,Carlow,8,6,1
2014Cavan,2014,Cavan,51,4,2
2014Clare,2014,Clare,57,11,2
2014Cork,2014,Cork,394,44,13
2014Donegal,2014,Donegal,119,7,2
2014Dublin,2014,Dublin,2946,270,85
2014Galway,2014,Galway,199,20,2
2014Kerry,2014,Kerry,108,4,2
2014Kildare,2014,Kildare,470,36,13
2014Kilkenny,2014,Kilkenny,44,3,0
2014Laois,2014,Laois,40,5,2
2014Leitrim,2014,Leitrim,4,0,0
2014Limerick,2014,Limerick,166,14,9
2014Longford,2014,Longford,8,3,0
2014Louth,2014,Louth,69,8,0
2014Mayo,2014,Mayo,67,6,1
2014Meath,2014,Meath,58,19,1
2014Monaghan,2014,Monaghan,17,2,0
2014Offaly,2014,Offaly,27,4,0
2014Roscommon,2014,Roscommon,17,2,1
2014Sligo,2014,Sligo,89,4,1
2014Tipperary,2014,Tipperary,83,5,1
2014Waterford,2014,Waterford,66,4,0
2014Westmeath,2014,Westmeath,238,2,1
2014Wexford,2014,Wexford,77,3,2
2014Wicklow,2014,Wicklow,59,16,2
2014Others,2014,Others,14,1,1
