id_county,Year,County,Issued,Refused,Withdrawn
2021Carlow,2021,Carlow,92,12.0,6
2021Cavan,2021,Cavan,235,16.0,16
2021Clare,2021,Clare,138,12.0,4
2021Cork,2021,Cork,1232,80.0,50
2021Donegal,2021,Donegal,320,15.0,10
2021Dublin,2021,Dublin,8636,419.0,372
2021Galway,2021,Galway,678,62.0,37
2021Kerry,2021,Kerry,232,5.0,12
2021Kildare,2021,Kildare,528,32.0,46
2021Kilkenny,2021,Kilkenny,217,13.0,8
2021Laois,2021,Laois,78,4.0,3
2021Leitrim,2021,Leitrim,71,,2
2021Limerick,2021,Limerick,908,50.0,37
2021Longford,2021,Longford,90,17.0,5
2021Louth,2021,Louth,308,22.0,13
2021Mayo,2021,Mayo,210,13.0,6
2021Meath,2021,Meath,301,49.0,23
2021Monaghan,2021,Monaghan,126,7.0,2
2021Offaly,2021,Offaly,170,8.0,5
2021Roscommon,2021,Roscommon,93,6.0,3
2021Sligo,2021,Sligo,140,4.0,2
2021Tipperary,2021,Tipperary,276,30.0,16
2021Waterford,2021,Waterford,408,24.0,6
2021Westmeath,2021,Westmeath,246,12.0,17
2021Wexford,2021,Wexford,315,22.0,16
2021Wicklow,2021,Wicklow,168,20.0,15
2021Others,2021,Others,59,3.0,4
