id_county,Year,County,Issued,Refused,Withdrawn
2019Carlow,2019,Carlow,88,18,3
2019Cavan,2019,Cavan,299,26,29
2019Clare,2019,Clare,197,30,6
2019Cork,2019,Cork,1191,100,64
2019Donegal,2019,Donegal,268,12,11
2019Dublin,2019,Dublin,9338,616,378
2019Galway,2019,Galway,623,53,25
2019Kerry,2019,Kerry,212,23,7
2019Kildare,2019,Kildare,339,42,26
2019Kilkenny,2019,Kilkenny,152,10,13
2019Laois,2019,Laois,88,7,4
2019Leitrim,2019,Leitrim,15,2,0
2019Limerick,2019,Limerick,555,47,40
2019Longford,2019,Longford,87,22,11
2019Louth,2019,Louth,361,29,24
2019Mayo,2019,Mayo,199,17,24
2019Meath,2019,Meath,307,51,23
2019Monaghan,2019,Monaghan,283,21,29
2019Offaly,2019,Offaly,152,53,3
2019Roscommon,2019,Roscommon,85,4,11
2019Sligo,2019,Sligo,133,12,3
2019Tipperary,2019,Tipperary,229,34,21
2019Waterford,2019,Waterford,457,18,22
2019Westmeath,2019,Westmeath,241,29,11
2019Wexford,2019,Wexford,383,57,47
2019Wicklow,2019,Wicklow,100,26,11
2019Others,2019,Others,1,5,2
