Year,Month,Company,Total
2019,Jan,3D4Medical Limited,1
2019,Jan,Abacus Systems Networks Ltd.,1
2019,Jan,Abbeybreaffy Nursing Home Ltd,1
2019,Jan,Abbeylands Nursing Home Alzheimer'S Unit Ltd,1
2019,Jan,Abbott Ireland,1
2019,Jan,Accenture Global Solutions Limited,3
2019,Jan,Accenture Limited,35
2019,Jan,Actavo Group Limited,1
2019,Jan,Activision Blizzard Ireland Ltd,3
2019,Jan,Adelaide & Meath Hospital Inc The National Children'S Hospital,9
2019,Jan,Aebe Limited,2
2019,Jan,Affidea Diagnostics Ireland Limited,1
2019,Jan,Airbus Financial Services Limited Company,1
2019,Jan,Airbus Helicopters International Services Limited,1
2019,Jan,Aitl Digital Marketing Services Limited,1
2019,Jan,Alexion Pharmaceuticals Inc,1
2019,Jan,All-Technology (Ireland) Limited,2
2019,Jan,Allianz Global Life Limited,1
2019,Jan,Allied Irish Banks Plc,1
2019,Jan,Alpha Automation & Controls Limited,2
2019,Jan,Alucraft Ltd.,1
2019,Jan,Amazon Data Services Ireland Ltd,21
2019,Jan,Amazon Web Services Emea Sarl,13
2019,Jan,Ambisense Ltd,1
2019,Jan,Ambrosia Foods Limited,1
2019,Jan,Amdocs Software Systems Limited,17
2019,Jan,American Power Conversion Corporation (Apc) B.V.,1
2019,Jan,Ammeon Ltd,1
2019,Jan,Analog Devices International Unlimited Company,1
2019,Jan,Anglo Beef Processors Ireland,1
2019,Jan,Anglo Beef Processors Ireland Unlimited Company,31
2019,Jan,Apple Distribution International,3
2019,Jan,Applied Process Company Ltd,1
2019,Jan,Aptiv Global Operations Ltd,2
2019,Jan,Aq Metrics Limited,1
2019,Jan,Arista Networks Limited,4
2019,Jan,Aro Digital Strategy,2
2019,Jan,Aro Digital Strategy Limited,1
2019,Jan,Asana Software Ireland Limited,1
2019,Jan,Aspen Pharma Ireland Ltd,1
2019,Jan,Aspiegel Limited,1
2019,Jan,Aspire Technology Limited,2
2019,Jan,Ats Applied Tech Systems Limited,2
2019,Jan,Audrey Okeeffe,1
2019,Jan,Autodesk Ireland Operations Limited,1
2019,Jan,Avanade Ireland Limited,2
2019,Jan,Axway Ireland Limited,1
2019,Jan,Aylien Limited,2
2019,Jan,Back From The Future Limited,1
2019,Jan,Bae Systems Applied Intelligence (Ireland) Limited,2
2019,Jan,Balbriggan Cricket Club,1
2019,Jan,Bank Of America Merrill Lynch International Dac,4
2019,Jan,Bank Of America Merrill Lynch International Limited,2
2019,Jan,Bank Of Ireland Group Plc,3
2019,Jan,Barclays Bank Ireland Plc,12
2019,Jan,Barry M Whelan Recruitment Limited,2
2019,Jan,Bdo,3
2019,Jan,Beacon Hospital Sandyford Ltd,3
2019,Jan,Beaumont Hospital,13
2019,Jan,Beaumont Residential Care,1
2019,Jan,Becton Dickinson Research Centre Ireland Ltd,2
2019,Jan,Beechfield Manor Nursing Home Limited,2
2019,Jan,Bell Pepper Ireland Limited,1
2019,Jan,Belmont Care Limited,4
2019,Jan,Beneavin House Limited,1
2019,Jan,Benetel Limited,2
2019,Jan,Beniska Enterprises Limited,2
2019,Jan,Bijou Catering Ltd,1
2019,Jan,Blackrock Clinic,2
2019,Jan,Bloomfield Care Centre Clg,1
2019,Jan,Blue Demons Basketball Club,1
2019,Jan,Boeing Ireland Limited,1
2019,Jan,Boliden Tara Mines Ltd,1
2019,Jan,Bon Secours Health System Clg,3
2019,Jan,Bon Secours Health System Company Limited By Guarantee,4
2019,Jan,Bon Secours Health Systems,1
2019,Jan,Boru Engineering Ltd,1
2019,Jan,Boston Scientific Ireland Limited,1
2019,Jan,Boulder Media Ltd,3
2019,Jan,Bowdale Limited,1
