Year,Company,Total
2009,Alcatel-Lucent Ireland Ltd,2
2009,Alcon Laboratories Ireland Limited,1
2009,Allston Taverns Ltd T/A The Muskerry Arms,2
2009,ALPS Electric (Ireland) Limited,2
2009,Ameer Palace,2
2009,Apple Computer Ltd,1
2009,Ardcullen Ltd T/A Donatellos,1
2009,Arunee Sae Tung t/a Royal Orchid,1
2009,Ashgrove Plant Ltd,1
2009,Asian Cuisine Cork t/a Lemongrass Cork,2
2009,Asian Food Catering Ltd T/A Sangam Restaurant,1
2009,Atlas Developments Ltd,1
2009,Automation Tooling Specialists Ltd t/a ATS Ltd,1
2009,Autometric Ltd,1
2009,Avery Dennison,1
2009,Avondhu/Blackwater Partnership,1
2009,A. W. & E. M. Crawford t/a K.C's Fish & Chip Shop,1
2009,Ballincurrig Care Centre Ltd,2
2009,Ballycotton Seafood Ltd,1
2009,Ballynoe Nursing Home,3
2009,Barry O'Sullivan Dry Lining Ltd,1
2009,Beautiful City Ltd t/a Animated Internet Messaging,1
2009,Berkway Limited,1
2009,Bernard Guiney,1
2009,Bijumon Vattamkuzhy t/a Spice Town Cork,2
2009,Biotector Analytical Systems Limited,1
2009,Bishopscourt Residential Care Ltd.,5
2009,Blairs Hills Nursing Home,1
2009,Blarney Castle Hotel Ltd,1
2009,Blarney Nursing And Retirement Home Ltd,6
2009,Blizzard Entertainment Ireland Ltd,3
2009,Blue Demons Basketball Club,5
2009,Blue Ginger Ltd T/A Blue Ginger Restaurant,2
2009,"Bon Secours Hospital, Cork",11
2009,Brackhill Holdings Ltd. T/A Firgrove Hotel,2
2009,Bridhaven Nursing Home,2
2009,Brookfield Care Services Ltd T/A Brookfield Care Centre,4
2009,Brothers of Charity (Cork),2
2009,Bru Bar & Hostel T/A Escape,1
2009,Bryan Brothers,1
2009,Cactus Limited (Restaurant),2
2009,Cahereen Residential Care Ltd,4
2009,CareChoice Ballynoe Ltd,5
2009,CareChoice Montenotte Ltd,2
2009,Carechoice (Macroom) Ltd,2
2009,Carma Global Sourcing Limited,1
2009,Carrigaline Farmhouse Cheese,1
2009,Castlehyde Stud,1
2009,Centocor Biologics (Ireland) Limited,1
2009,Ceramicx Ireland Ltd.,1
2009,Charleville Care Project Ltd T/A Sheltered Housing Services,2
2009,Charleville Foods Ltd,5
2009,Ciaran Duddy t/a Suko Thai Restaurant,1
2009,Clara Stores Millstreet Ltd t/a Dennehys Centra,1
2009,Clemzig Engineering Services Ltd,1
2009,Coffee Station,3
2009,Coolbeag Engineering Services Ltd,1
2009,Cork Fertility Centre / Rational Reproduction,1
2009,Cork Institute of Technology (C.I.T.),3
2009,Cork New Life Media Limited t/a Life FM,1
2009,Corporate Catering Services Ltd,1
2009,Country Clean Recycling Ltd t/a Cork Mini Skips,1
2009,Crimdale Developments Ltd T/A Singleton's Supervalu,1
2009,Crystal Cleaning and Maintenance Services Limited,1
2009,Dairygold Co-Op. Society Ltd.,1
2009,Daniel O'Leary & Charles O'Leary t/a Ballygarvan Nurseries,2
2009,Dawn Meats (Midleton),5
2009,Dempsey of Cork Ltd,2
2009,Deninger Management Services Ltd,1
2009,Dermot & Patricia Murphy,1
2009,Digital Crew Ltd,1
2009,Dr. Bryan Thirsk T/A Glanmire Chiropractic Clinic,1
2009,Eco Douglas Limited T/A Eco,1
2009,ECOM Interaction Services Ltd t/a ECOM Interaction,3
2009,Eli Lilly S.A.,20
2009,EMC (Benelux) B.V.SARL,1
2009,Emerson Process Management Ltd,1
2009,EPS Pumping & Treatment Systems Ltd.,1
2009,Evergreen Foods Ltd,3
2009,Executive Linen Rental Ltd,1
2009,Experiment in International Living Ltd T/A EIL Educational & Cultural Travel,1
2009,Fairfield Nursing Home,2
2009,Federal Security Limited T/A Federal Security Solutions,1
2009,Fennery Consultants Ltd,1
2009,Finbarr Gleeson Ltd,2
2009,Fisher Street Ltd,2
2009,Franco Barbeari Barber Shop,1
2009,Gama Guc Sistemleri Muhendislik Ve Taahhut A. S. t/a Gama Power Systems,9
2009,Geoff Castles Boiler Services Ltd,1
2009,Geraldine Mary Blake,1
2009,Geraldino Ltd.,2
2009,Glanthomas Engineering Services Ltd,1
2009,Glendonagh Residential Home Limited,2
2009,Global Chiropractic Health Services Ltd t/a Koru Chiropractic,1
2009,Global Shares Ireland Ltd,1
2009,Globe Technical Services Ltd,2
2009,Gold Century Investments Limited T/A Royal Pacific,2
2009,Golden Chocolates Ltd,2
2009,Golden Nursing Homes Ltd T/A Douglas Nursing & Retirment Home,2
2009,Gortroe Nursing Home Ltd t/a Youghal & District Nursing Home,3
2009,Graigue Restaurants Limited t/a Mc Donalds Cork,2
2009,Grangemore Plants Ltd,1
2009,Gurranton Ltd T/A Singleton's Centra,1
2009,Haven Bay Care Centre Ltd,2
2009,Hayfield Manor Hotel,3
2009,Health Service Executive,1
2009,Health Services Executive,1
2009,Healy Bros. Ltd,1
2009,Herlihy's Grand Parade Limited,1
2009,High Tech Management Services Ltd,1
2009,Highfort Stud,1
2009,HMS Host Ireland Ltd,5
2009,Hodgins Sausages Ltd,1
2009,Hong Ye Roma Ltd,1
2009,Hurley's,1
2009,Imperial Hotel (Cork ) Ltd.,3
2009,Indian Kitchen,1
2009,Infosys Technologies Limited,1
2009,Ingredient Solutions Limited,1
2009,Inis Ban Limited T/A Cramers Court Nursing Home,5
2009,Innovation Enterprises T/A Audit Diagnostics,1
2009,International Holidays Ltd t/a Ashley Hotel,1
2009,Inthra Intharalak t/a Sala Thai Massage,1
2009,"Irish Burger Sytems Ltd, t/a McDonalds",1
2009,J D Hotels Grand Parade t/a Soho,1
2009,Jacobs Engineering Ireland Ltd,1
2009,John J Murphy,1
2009,John O'Hare t/a O'Hare Butcher and Halal Foodstore,1
2009,Joseph Walsh Furniture Company Ltd T/A Joseph Walsh Bespoke,2
2009,Joyful Restaurant Limited T/A Radhuni Indian Cuisine,3
2009,Julie's Diner,1
2009,Kellor Services(IRL)Ltd,13
2009,Kepak Group Ltd,1
2009,Kevin Sheehan Ltd,2
2009,Kieran Murphy Contracting Ltd,1
2009,Kieran O Gorman Ltd t/a The River Rooms,4
2009,Kingcrest Entertainment Ltd t/a Five Mile Inn,1
2009,Kingsley Hotel Ltd,6
2009,Kinvera Consultants Ltd,1
2009,LC Restaurants Ltd T/A Cappuccino,1
2009,LEC Ireland Employment Limited,1
2009,Liam & Julia Holland T/A Grange Con Nursing Home,1
2009,Lily Chan t/a China Dragon Chinese Restaurant,2
2009,Little Bridge Flowers Limited t/a Spring Nurseries,1
2009,Little IMPS Childcare Ltd t/a Little IMPS Childcare & Nurture,1
2009,"Luigi Malones, - Standquay Restaurants Ltd,",1
2009,Lyttduff Ltd t/a Gloria Jeans Coffees,2
2009,M & F Spas Ltd,1
2009,Madonna House Retirement Home,1
2009,Mairead Daly,1
2009,Mairead O'Brien,2
2009,Manshire Limited T/A Maryborough House Hotel,1
2009,Mardyke Leisure Ltd,1
2009,Mary Anns Bar,2
2009,Maryborough Nursing Home,2
2009,Mattest Ireland Ltd,1
2009,MBCC Foods Ireland Ltd T/A KFC,1
2009,MBCC Foods Ireland Ltd T/A Pizza Hut,1
2009,McAfee Ireland Ltd,1
2009,Mckechnie Cleaning Services Ltd,2
2009,MCM Security Ltd,3
2009,McSherry Electrical Ltd,1
2009,McSweeney Civil Engineering Ltd,1
2009,Meiji Dairies Corporation,1
2009,Mercy Hospital,22
2009,Mermore Boat Management (Kinsale) Ltd,1
2009,Michael Meade t/a MFV Boy Erin,1
2009,Modern Concepts Ltd.,2
2009,Mohammad Ahmad T/A Humble Kebab Indian Restaurant,1
2009,Mohammad Amin T/A Nite Bites,1
2009,Montenotte Care Centre Ltd,9
2009,Mr Bing Sun t/a Fen Fong Chinese Restaurant,1
2009,Musa Gunes T/A Musa Turkish Barber Shop,1
2009,MVCI Services Ltd,4
2009,M.C.M. Security Ltd,1
2009,N S Board of Management 17993R Scoil Mhuire Gan Smal (Boys),1
2009,Natsara Moher T/A Thai Lanna,1
2009,Natsara Moher T/A The White Deer Thai Restaurant,1
2009,Neptune Basketball Club,2
2009,Norwood Grange Nursing Home,1
2009,Novartis Ringaskiddy Limited,1
2009,O'Connell Court Ltd,1
2009,O'Donovan Transport (Cork) Ltd,1
2009,O'Sheas Electrical Ltd,1
2009,Oaklodge Nursing Home,5
2009,Offridge Ltd T/A Quality Hotel Youghal,1
2009,Oscar Restaurant Ltd T/A Hong Kong Kitchen,1
2009,Pacific Manufacturing Ltd,1
2009,"Padre Pio Nursing Home,",1
2009,Parsons Brinckerhoff Ltd,1
2009,Parsons Engineering Limited,1
2009,Patrick Lynch t/a Golden Scissors Cork,1
2009,Paul & Mary Clare Rochford t/a Bridhaven Nursing Home,1
2009,Payam Eshtari t/a Bella Cafe,1
2009,Peter Kingston,1
2009,Pfizer Ireland Limited,1
2009,Pfizer Ireland Pharmaceuticals,1
2009,Pilz Ireland Industrial Automation,1
2009,Powdermill Nursing Home,3
2009,Rahber Ltd T/A Lal Quila,1
2009,Rahber Ltd T/A Spice of India,1
2009,Rainstone Restaurants Ltd t/a McDonalds Restaurants Ltd,3
2009,Rami Bassou T/A The Welcome Barber,2
2009,Rathbarry Stud,2
2009,Rehman Foods Limited,1
2009,Resthaven Nursing Home,1
2009,Riverview Eggs Ltd,1
2009,Riverview Veterinary Clinic,1
2009,Rory Sweeney,1
2009,Rosenalee Care Centre Ltd.,2
2009,Rowex Ltd,1
2009,Ruen Thai,2
2009,Ryan's Arbutus Breads Limited,1
2009,Sandquay Restaurant Ltd,3
2009,Sandquay Restaurant Ltd t/a Luigi Malones,1
2009,Sandquay Restaurant Ltd T/A Luigi Malones,1
2009,Sandquay Restaurant Ltd t/a Luigi Malones,1
2009,Sandquay Trading Ltd,1
2009,Sean Barrett Plant Hire Ltd,1
2009,Sean Mulvihill & Company,1
2009,Shannore Ltd t/a Corpus Christi Nursing Home,1
2009,Skibbereen Residential Care,1
2009,Smithkline Beecham (Cork) Ltd T/A GlaxoSmithKline,2
2009,Smurfit Kappa Packaging Solutions,1
2009,Smyths Toys Ltd,1
2009,Snap-on Equipment Europe Limited,3
2009,Society of African Missions,1
2009,Solarwinds Software Europe Ltd,2
2009,South Coast Transport.,1
2009,South Infirmary/Victoria Hospital Ltd.,24
2009,St Joseph's National School (Cork),1
2009,Standquay Restaurants Ltd t/a Caffe Hi,1
2009,Starwood Reservations Corporation,6
2009,Stockeryale Ireland Ltd,2
2009,Stryker Instruments,1
2009,St. Joseph's Hospital,1
2009,St. Patrick's Hospital/Marymount Hospice,1
2009,Ted Crowley,1
2009,Tesco Ireland (Mallow),2
2009,Thai Thanie Limited T/A Thai Thanie Restaurant,3
2009,The Concentrate Manufacturing Company Of Ireland t/a Pepsi Cola Manufacturing Ireland,3
2009,The Gaylord Raj Limited,1
2009,The Health Information & Quality Authority,1
2009,The Istanbul Food Company Ltd,1
2009,The New Maharajah Restaurant,1
2009,The Silver Key Ltd,1
2009,Thomas Harrington t/a Apache Pizza,1
2009,Thomas O'Leary,1
2009,Tim & Paul O'Donoghue T/A O'Donoghue's Service Station,1
2009,Timothy J Hegarty & Sons,1
2009,Togher Family Centre Limited,1
2009,Topps International Limited,1
2009,Torriam Hotel Operating Company Limited,1
2009,Total Health Chiropractic Wellness Clinic/Dr. Douglas Meckelborg,1
2009,Transglobal Energy Inc.,1
2009,Tryban Ltd T/A The Maritime Hotel,1
2009,Tyndall National Institute,1
2009,Ultra Leisure Limited t/a Tudor Casino,1
2009,Unimass Ltd T/A Thai House,1
2009,University College Cork,14
2009,Vision Modular Structures,2
2009,VMWare International Ltd,5
2009,Waterfall Farms,1
2009,West Cork Hotel Ltd,1
2009,Westlodge Hotel Ltd.,1
2009,Whitefriar Residential Care Limited,2
2009,William Anthony Kirby t/a Kirbys Korner,1
2009,Willowcrest Ltd  T/A Donoghue Packaging,1
2009,Wishing Well Montessori,1
2009,Yoon Hock Tan t/a Great View,1
2009,Zenith Technologies Ltd,1
2009,Zied Bartache t/a Padrone,1
2009,Akeview Ltd t/a Yellow Pepper,1
2009,Allingham Arms Hotel,1
2009,Arctic Fish Processing Company Limited,1
2009,Brindley Manor Nursing Home Limited,2
2009,Bundoran College of Beauty Ltd,1
2009,Castle Grove County House Hotel,1
2009,Charles Kelly Properties t/a Kellys Service Station,2
2009,Clanree Hotel Ltd T/A Clanree Hotel,2
2009,Comron Ltd t/a Gormley's Centra,1
2009,Dalriada Ltd,1
2009,Donegal Meat Processors Ltd.,19
2009,Edwin Platt,1
2009,Faisc Miotail Eireann Teo,1
2009,Fluid Controls Irl Ltd,3
2009,Foy & Co. (Ballybofey) Ltd,1
2009,G M G Mechanical Services Ltd,1
2009,Gallagher Hospitality Ltd t/a Ramada Encore,1
2009,Gartan Technologies Ltd,1
2009,Glashedy Golf Lodges Ltd T/A The Ballyliffin Lodge,1
2009,Great Northern Hotel,1
2009,Green Pastures (Donegal) Limited,1
2009,Gweedore Bar & Restaurant,1
2009,Happy Palace Chinese Restaurant,1
2009,Hillcrest House Private Nursing Home,1
2009,Hotel Gweedore,1
2009,Irish Executive Jobs Ltd,1
2009,Jackson's Hotel (Ballybofey) Ltd.,1
2009,Kevin Bradley t/a Highland Bakery,1
2009,Kevin Keeney Ltd t/a Bakersville,2
2009,Laghey Waste Ltd,1
2009,Lechlade Ltd T/A Central Hotel,2
2009,Macs Mace T/A Macs Mace,1
2009,Mary Smith t/a Ballyraine Guest House,1
2009,Mc Gettigan Bakery Ltd,1
2009,McNamee Construction Ltd,1
2009,Mill Park Hotel Ltd,1
2009,Mulroy Health Care Ltd T/A Aràs Uì Dhomhnaill Nursing Home,1
2009,Neil Doherty & Joseph Doherty T/A Joe Jacksons,2
2009,Net Ministries Of Ireland Ltd,1
2009,Nyne Services Limited,1
2009,Pacificare International Ltd,1
2009,Pemberley Catering Ltd T/A Letterkenny Court Hotel,1
2009,Powerbar Ltd,1
2009,Pramerica Systems Ireland Ltd,19
2009,R A Pacaisti Teo,1
2009,Rabat Ltd t/a La Bella Donna,1
2009,Sheephaven Properties t/a Lakehouse Nursing Home,2
2009,Sita Information Networking Computing Ireland Ltd,3
2009,Stephen Colhoun,1
2009,The Quiet Moment Tearooms Limited,2
2009,Tobins Service Station Ltd,1
2009,Trinity Imports & Exports Ltd,5
2009,Twin Town Quality Meats Ltd,1
2009,Ulster Tyre Co. Ltd,1
2009,Villa Rose Hotel Ltd,1
2009,WPHG Ireland Operating Ltd T/A The Lough Eske Hotel and Resort,1
2009,Zain-Fashion-Ltd,1
2009,Irish Mission of the Seventh Day Adventists,1
2009,20/20 Vision Ltd,1
2009,365 Hosting Ltd T/A Hosting 365,1
2009,747 Travel,1
2009,A-Wear Ltd,1
2009,A B Mauri (UK) Ltd,1
2009,A C Taylor Ltd,1
2009,A N O'Neill Ltd,1
2009,A to Z Moving And Driving Instructors Co Ltd,1
2009,A Wash,1
2009,A & S Clothing Ltd,1
2009,Abbey College Int Ltd,1
2009,Abbey Healthcare,1
2009,Abbey Presbyterian Church,1
2009,Abbott Ireland,1
2009,Abbott Laboratories (Irl) Ltd.,4
2009,Abdel Latif Khaled,2
2009,Absolute Retail Control,1
2009,ABX (Ireland) Ltd t/a Marlborough Hostel,1
2009,AC Manufacturing Ltd,1
2009,"AC Nielsen of Ireland Ltd.,",2
2009,Academy Hotel,1
2009,ACC Bank PLC,1
2009,Accenture,12
2009,Ace Vegetable Suppliers Ltd,1
2009,Aclare House Nursing Home,3
2009,Actel Semi Conductors Ltd,1
2009,Action Alarms Ltd T/A Action Security Systems,1
2009,Adelaide & Meath Hospital Incorporating The National Children's Hospital,47
2009,ADP Dealer Service Ireland Limited,1
2009,Adriatic Riviera Ltd,1
2009,Advanced Radiology Limited,1
2009,Aegon Scottish Equitable International (Dublin),1
2009,Aero Clean Ireland Ltd,2
2009,Africa Solidarity Centre Ltd,1
2009,Agenbite T/A Milano,1
2009,AHP Manufacturing BV t/a Wyeth Medica Irl,3
2009,AIB Group,2
2009,Aiden Hanna Wholesale Ltd,1
2009,AIG Excess Liability Insurance International Limited,2
2009,AIG Investments Ireland Limited,1
2009,AIG Ireland Ltd,6
2009,Ailesbury Private Nursing Home,6
2009,Aim Cash & Carry,4
2009,Aine Collins,1
2009,Aircraft Purchase Fleet Limited,1
2009,Airspeed Communications t/a Airspeed Telecom,1
2009,AK Restaurants Ltd,1
2009,Akash Indian Restaurant,1
2009,Alan Crowley,1
2009,Alcatel-Lucent Ireland Ltd,2
2009,Alexandra College,1
2009,Ali Shaukat t/a Prudent Associates,1
2009,All Window Blinds Ltd,1
2009,Allergan Pharmaceuticals (Ireland) Ltd,1
2009,Alliance Select Services Ltd,1
2009,Allianz Re Dublin Limited,2
2009,Allianz Worldwide Care,2
2009,Alpha Airport Catering (Ireland) Ltd,1
2009,Alpha Restaurant T/A El Bahia Restaurant,1
2009,Alqsa Ltd T/A Nile Foods,1
2009,Alstom Ireland Ltd,10
2009,Altadore Nursing Home,4
2009,Alto Food Merchants Ltd t/a Dillon Global Trading,4
2009,Amanda Bourke,1
2009,Amazon Data Services Ireland Ltd,1
2009,Amdocs Software Systems Limited,1
2009,American Airlines Inc.,2
2009,Ammado Internet Services Limited,1
2009,Ammeon Ltd,2
2009,Ampleforth Ltd. T/A Fitzwilliam Hotel,3
2009,Ampleforth Ltd. T/A Fitzwilliam Hotel ,1
2009,Anamu Room Films Ltd,1
2009,Andrew Kinsella,1
2009,Anglo Irish Bank,6
2009,Angry Developments Ltd t/a Angry,2
2009,Ann Dempsey t/a Delicate Essence,1
2009,Ann Neasy,1
2009,Anna Doran,1
2009,Annabeg Nursing Home,1
2009,Annafred Clinics Ltd t/a Dundrum Medical Cosmetic Clinic,2
2009,Anne le Brocquy,1
2009,Anne Marie Doyle t/a Carousel Day Nursery,2
2009,Anne Marie Purewal,1
2009,Anne Wilson,1
2009,Anora Commercial Ltd t/a Comfort Inn Granby Row Hotel,1
2009,Antalis Ireland Ltd,1
2009,Anthony Donnelly and Sons Fruit Ltd,1
2009,Anthony Keegan t/a Keegan Construction,1
2009,AOL Global Operations Limited,1
2009,Aon Commercial Services and Operations Ireland Ltd,3
2009,Apartment Management Services,1
2009,Apex Fire Limited,1
2009,Appassionata Flowers,2
2009,Applus Car Testing Service Limited,5
2009,Áras Sláinte Ltd T/A The Well,3
2009,Arcourt Ltd. t/a Sheldon Park Hotel,3
2009,Ard Services Limited,7
2009,Ard Services Limited ,1
2009,Ardeeshal Lodge Nursing Home,6
2009,Ardoyne House Management Ltd,1
2009,Argos,1
2009,Argosy Libraries Ltd,1
2009,Arnotts Ltd.,1
2009,Arthritis Ireland,1
2009,Arvato Finance Services Limited,3
2009,Ashar Bari,1
2009,Ashbourne Rugby Football Club,1
2009,Ashbrook Facility Management Ireland Limited T/A AFM Ireland Ltd,10
2009,Ashbury Private Nursing Home,3
2009,Ashford House Nursing Home Ltd,8
2009,Ashika Trading Limited,1
2009,Asia Market Limited,1
2009,Aspen Interiors Ltd,1
2009,Aspera Solutions Ltd.,1
2009,Assistive Technology Group Limited,1
2009,Assured Property Management Ltd,1
2009,Astellas Ireland Co Ltd,2
2009,Atlantic Container Agencies Ltd,3
2009,Atlantic Homecare Ltd,1
2009,Atomic Sports (IRL) Ltd,1
2009,Autovalue Limited t/a Autovalue,1
2009,Avaya International Sales Ltd,2
2009,Aviation Personnel Support Services Ltd,2
2009,Avondale Chiropractic Services Limited,1
2009,AVT International PTY Ltd,1
2009,AWAS (Ireland) Ltd,3
