id_sector,Year,Month,Sector,Issued,Refused,Withdrawn
2009JanAgriculture_&_Fisheries,2009,Jan,Agriculture & Fisheries,18,10,1
2009JanCatering,2009,Jan,Catering,91,44,2
2009JanDomestic,2009,Jan,Domestic,10,2,1
2009JanEducation,2009,Jan,Education,15,5,0
2009JanEntertainment,2009,Jan,Entertainment,7,1,0
2009JanIndustry,2009,Jan,Industry,60,24,1
2009JanMedical_&_Nursing,2009,Jan,Medical & Nursing,268,39,6
2009JanService_Industry,2009,Jan,Service Industry,256,73,7
2009JanSport,2009,Jan,Sport,5,1,0
2009FebAgriculture_&_Fisheries,2009,Feb,Agriculture & Fisheries,17,12,0
2009FebCatering,2009,Feb,Catering,134,29,10
2009FebDomestic,2009,Feb,Domestic,9,1,1
2009FebEducation,2009,Feb,Education,15,6,1
2009FebEntertainment,2009,Feb,Entertainment,1,1,0
2009FebIndustry,2009,Feb,Industry,78,24,2
2009FebMedical_&_Nursing,2009,Feb,Medical & Nursing,201,33,3
2009FebService_Industry,2009,Feb,Service Industry,275,62,4
2009FebSport,2009,Feb,Sport,7,1,0
2009MarAgriculture_&_Fisheries,2009,Mar,Agriculture & Fisheries,16,8,4
2009MarCatering,2009,Mar,Catering,86,35,1
2009MarDomestic,2009,Mar,Domestic,6,3,0
2009MarEducation,2009,Mar,Education,15,3,0
2009MarEntertainment,2009,Mar,Entertainment,9,10,0
2009MarIndustry,2009,Mar,Industry,66,11,1
2009MarMedical_&_Nursing,2009,Mar,Medical & Nursing,174,41,1
2009MarService_Industry,2009,Mar,Service Industry,248,63,2
2009MarSport,2009,Mar,Sport,5,1,0
2009AprAgriculture_&_Fisheries,2009,Apr,Agriculture & Fisheries,30,10,1
2009AprCatering,2009,Apr,Catering,74,41,1
2009AprDomestic,2009,Apr,Domestic,14,2,0
2009AprEducation,2009,Apr,Education,7,4,0
2009AprEntertainment,2009,Apr,Entertainment,2,1,0
2009AprIndustry,2009,Apr,Industry,49,9,1
2009AprMedical_&_Nursing,2009,Apr,Medical & Nursing,111,30,3
2009AprService_Industry,2009,Apr,Service Industry,193,47,6
2009AprSport,2009,Apr,Sport,4,1,0
2009MayAgriculture_&_Fisheries,2009,May,Agriculture & Fisheries,21,6,0
2009MayCatering,2009,May,Catering,110,43,2
2009MayDomestic,2009,May,Domestic,26,4,0
2009MayEducation,2009,May,Education,8,0,0
2009MayEntertainment,2009,May,Entertainment,1,0,0
2009MayExchange_Agreements,2009,May,Exchange Agreements,0,1,0
2009MayIndustry,2009,May,Industry,98,14,1
2009MayMedical_&_Nursing,2009,May,Medical & Nursing,116,23,5
2009MayService_Industry,2009,May,Service Industry,250,35,2
2009MaySport,2009,May,Sport,7,1,0
2009JunAgriculture_&_Fisheries,2009,Jun,Agriculture & Fisheries,29,1,3
2009JunCatering,2009,Jun,Catering,84,18,4
2009JunDomestic,2009,Jun,Domestic,11,8,0
2009JunEducation,2009,Jun,Education,15,0,0
2009JunEntertainment,2009,Jun,Entertainment,4,1,0
2009JunExchange_Agreements,2009,Jun,Exchange Agreements,3,0,0
2009JunIndustry,2009,Jun,Industry,59,10,2
2009JunMedical_&_Nursing,2009,Jun,Medical & Nursing,139,20,4
2009JunService_Industry,2009,Jun,Service Industry,180,33,7
2009JunSport,2009,Jun,Sport,2,1,0
2009JulAgriculture_&_Fisheries,2009,Jul,Agriculture & Fisheries,27,3,1
2009JulCatering,2009,Jul,Catering,90,51,5
2009JulDomestic,2009,Jul,Domestic,6,1,1
2009JulEducation,2009,Jul,Education,14,5,0
2009JulEntertainment,2009,Jul,Entertainment,2,2,0
2009JulIndustry,2009,Jul,Industry,39,11,0
2009JulMedical_&_Nursing,2009,Jul,Medical & Nursing,222,14,4
2009JulService_Industry,2009,Jul,Service Industry,212,29,15
2009JulSport,2009,Jul,Sport,7,2,0
