Year,County,Issued,Refused,Withdrawn
2023,Carlow,161.0,7,3.0
2023,Cavan,312.0,18,5.0
2023,Clare,496.0,30,6.0
2023,Cork,2613.0,123,49.0
2023,Donegal,387.0,19,14.0
2023,Dublin,15401.0,752,265.0
2023,Galway,1387.0,85,35.0
2023,Kerry,384.0,26,15.0
2023,Kildare,1734.0,53,29.0
2023,Kilkenny,491.0,24,10.0
2023,Laois,213.0,14,2.0
2023,Leitrim,54.0,5,2.0
2023,Limerick,1600.0,84,34.0
2023,Longford,120.0,13,2.0
2023,Louth,649.0,20,6.0
2023,Mayo,378.0,19,10.0
2023,Meath,1137.0,53,18.0
2023,Monaghan,240.0,34,40.0
2023,Offaly,328.0,10,7.0
2023,Roscommon,138.0,8,2.0
2023,Sligo,220.0,20,4.0
2023,Tipperary,531.0,33,17.0
2023,Waterford,660.0,16,10.0
2023,Westmeath,391.0,21,10.0
2023,Wexford,606.0,31,25.0
2023,Wicklow,275.0,47,5.0
2023,Others,75.0,10,16.0
