Year,Month,Company,Total
2023,Jan,A N H Healthcare Ltd,1.0
2023,Jan,A. Cliffe Haulage Limited,1.0
2023,Jan,A.R.D. Precision (Irl) Limited,4.0
2023,Jan,Aarval Limited,5.0
2023,Jan,Abb Limited,1.0
2023,Jan,Abbey Lane Hotel (Trading) Ltd,2.0
2023,Jan,Abbey Physiotherapy Ltd,2.0
2023,Jan,Abbeylands Furniture (Navan) Limited,1.0
2023,Jan,Abbot Close Nursing Home Ltd,1.0
2023,Jan,Abbott Ireland,1.0
2023,Jan,Abbott Rapid Dx International Limited,1.0
2023,Jan,Abyan Limited,2.0
2023,Jan,Accenture Global Solutions Limited,1.0
2023,Jan,Accenture Limited,24.0
2023,Jan,Accura Construction Limited,1.0
2023,Jan,Acorn Healthcare Ltd,2.0
2023,Jan,Actavo (Ireland) Limited,2.0
2023,Jan,Activision Blizzard Ireland Ltd,1.0
2023,Jan,Adalma Ltd,1.0
2023,Jan,Adamsgold Limited,1.0
2023,Jan,Adaptive Hvm Limited,1.0
2023,Jan,Admiral Restaurant Limited,1.0
2023,Jan,Ads Contractor Limited,1.0
2023,Jan,Advanced Geotechnics Limited,1.0
2023,Jan,Advanced Laboratory Testing Ltd,1.0
2023,Jan,Affidea Diagnostics Ireland Limited,1.0
2023,Jan,Affirma Consulting Ireland,1.0
2023,Jan,Aguiar Racing Ltd,1.0
2023,Jan,Aib Jv Designated Activity Company,1.0
2023,Jan,Aidan Doherty Transport Ltd,1.0
2023,Jan,Ak Accounting Limited Co,1.0
2023,Jan,Akash Kebab Limited,2.0
2023,Jan,Akm Consultants Limited,1.0
2023,Jan,Albany Beck Ireland Limited,2.0
2023,Jan,Alchemy Telco Solutions Ltd,1.0
2023,Jan,Alexander Mann Outsourcing Solutions Limited,1.0
2023,Jan,Alexion Pharma International Operations Limited,2.0
2023,Jan,Alizashanza Medics Limited,1.0
2023,Jan,All Fresh Wholesale Limited,1.0
2023,Jan,Allanbay Limited,2.0
2023,Jan,Allergan Pharmaceuticals Ireland Ulc,1.0
2023,Jan,Alliance Medical Diagnostic Imaging Ltd,3.0
2023,Jan,Allianz Technology Se,1.0
2023,Jan,Allied Irish Banks Plc,2.0
2023,Jan,Allied Irish Banks Public Limited Company,5.0
2023,Jan,Almondville Ltd,1.0
2023,Jan,Alpha Automation & Controls Limited,2.0
2023,Jan,Alpha Mechanical Services Limited,1.0
2023,Jan,Alpha Precision Limited,1.0
2023,Jan,Alter Domus (Ireland) Ltd,2.0
2023,Jan,Alter Domus Fund Services (Ireland) Limited,2.0
2023,Jan,Amazon Data Services Ireland Limited,1.0
2023,Jan,Amazon Development Centre Ireland Limited,5.0
2023,Jan,Amazon Ireland Support Services Ltd,7.0
2023,Jan,Amazon Web Services Emea Sarl,8.0
2023,Jan,Amber Health Care Limited,7.0
2023,Jan,Amgen Technology (Ireland) Unlimited Company,2.0
2023,Jan,Amtrust International Underwriters Dac,1.0
2023,Jan,Amundi Ireland Limited,1.0
2023,Jan,Amuri Limited,1.0
2023,Jan,Analog Devices International Unlimited Company,6.0
2023,Jan,Analog Digital Security Systems Ltd,1.0
2023,Jan,Andrew Choi,1.0
2023,Jan,Anglo Beef Processors Ireland Unlimited Company,2.0
2023,Jan,Anglo Irish Engineering Projects Ltd,1.0
2023,Jan,Anvik Company Ltd,2.0
2023,Jan,Anwarul Tarafder,1.0
2023,Jan,Aon Broking Technology Limited,1.0
2023,Jan,Aperee Living Ballygunner Limited,1.0
2023,Jan,Aperee Living Churchtown Limited,1.0
2023,Jan,Aperee Living Tralee Limited,1.0
2023,Jan,Applied Materials Ireland Limited,13.0
2023,Jan,Applied Process Company Ltd,1.0
2023,Jan,Aptiv Global Operations Limited,3.0
2023,Jan,Araglen House Nursing Home Limited,2.0
2023,Jan,Aras Mhuire Nursing Home,2.0
2023,Jan,Ardmac Limited,1.0
2023,Jan,Ardmore Shipping Services (Ireland) Ltd,1.0
2023,Jan,Arista Networks Limited,2.0
2023,Jan,Arkil Ltd,1.0
2023,Jan,Arm Ireland Limited,1.0
2023,Jan,Aro Cumarsaid Teoranta,1.0
2023,Jan,Arthur Cox,1.0
2023,Jan,Artizan Catering Ltd,1.0
2023,Jan,Ashford House Nursing Home Limited,4.0
2023,Jan,Ashlawn Nursing Home Limited,1.0
2023,Jan,Asia Line Limited,1.0
2023,Jan,Asl Aviation Holdings Dac,1.0
2023,Jan,Asml Ireland Limited,4.0
2023,Jan,Aspen Green Ltd,3.0
2023,Jan,Aspen Pharma Ireland Limited,1.0
2023,Jan,Assistive Technology Group Limited,1.0
2023,Jan,Astellas Ireland Ltd,2.0
2023,Jan,Atd Catering Limited,1.0
2023,Jan,Athlunkard Nursing Home Limited,1.0
2023,Jan,Atlantic Aviation Group Limited,12.0
2023,Jan,Aubren Limited,1.0
2023,Jan,Aura Life Limited,1.0
2023,Jan,Aureol Global Connections Ltd,1.0
2023,Jan,Auxilion Ireland Limited,1.0
2023,Jan,Avanade Ireland Limited,7.0
2023,Jan,Avatier Ireland Limited,1.0
2023,Jan,Azem Aliu,1.0
2023,Jan,Azza Consultancy Services Limited,1.0
2023,Jan,B & D Healthcare Company Ltd,1.0
2023,Jan,Badaam Foods Limited,1.0
2023,Jan,Bae Systems Applied Intelligence (Ireland) Limited,3.0
2023,Jan,Baig And Mirza Health Services Limited,2.0
2023,Jan,Bainistiocht Àras Ghaoth Dobhair Faoi Theorainn Rathaiochta,1.0
2023,Jan,Balbriggan Cricket Club,1.0
2023,Jan,Ballincurrig Care Centre Ltd,1.0
2023,Jan,Ballinderry Nursing Home Limited,1.0
2023,Jan,Ballon Meats Uc,1.0
2023,Jan,Banbury Cross Ltd.,1.0
2023,Jan,Bank Of America Europe Dac,4.0
2023,Jan,Bank Of China (Europe) S.A.,1.0
2023,Jan,Bank Of Ireland Group Plc,5.0
2023,Jan,Barabona Dairies Ltd,1.0
2023,Jan,Bartra Op Co (Northwood Nh) Limited,4.0
2023,Jan,Bartra Opco (Beaumont Nh) Limited,5.0
2023,Jan,Bartra Opco No.1 Limited,1.0
2023,Jan,Battalion Bloodstock Limited,2.0
2023,Jan,Baylam Home Health Care Ltd,1.0
2023,Jan,Bbif Limited,2.0
2023,Jan,Bcmglobal Asi Limited,1.0
2023,Jan,Bdo,1.0
2023,Jan,Beacon Hospital Sandyford Ltd,13.0
2023,Jan,Beaumont Hospital,24.0
2023,Jan,Beaumont Residential Care Limited,1.0
2023,Jan,Beazley Insurance Dac,1.0
2023,Jan,Becton Dickinson Research Centre Ireland Ltd,1.0
2023,Jan,Beechfield Manor Nursing Home Limited,4.0
2023,Jan,Belmont Care Limited,5.0
2023,Jan,Belmullet Hospitality Group,1.0
2023,Jan,Belstone Ventures Limited,1.0
2023,Jan,Bench Grade Brands Operations Limited,1.0
2023,Jan,Benchspace Cork Clg,1.0
2023,Jan,Bentley Systems International Limited,1.0
2023,Jan,Berensen Ireland Limited,1.0
2023,Jan,Beresford Personnel Ltd,1.0
2023,Jan,Bergins Malthouse Mountbellew Limited,1.0
2023,Jan,Beyond Creative Ltd,1.0
2023,Jan,Bgh Hotel Limited,1.0
2023,Jan,Biotector Analytical Systems Ltd,1.0
2023,Jan,Blackden Limited,3.0
2023,Jan,Blacklion Produce Limited,2.0
2023,Jan,Blackrock Clinic Unlimited Company,9.0
2023,Jan,Blackstairs Lithium Limited,1.0
2023,Jan,Bloomfield Care Centre Clg,2.0
2023,Jan,Bloomfield Hotel Ltd,1.0
2023,Jan,Bluecrux Ie Limited,1.0
2023,Jan,Bmd Co. Ltd,1.0
2023,Jan,Bnp Paribas Fund Administration Services (Ireland) Ltd,1.0
2023,Jan,Bny Mellon Fund Services (Ireland) Designated Activity Company,2.0
2023,Jan,Boeing Ireland Limited,1.0
2023,Jan,Boler Property Investment Management Co Ltd,1.0
2023,Jan,Bolger Engineering Ltd,3.0
2023,Jan,Bon Secours Health System Company Limited By Guarantee,2.0
2023,Jan,Bon Secours Health Systems,10.0
2023,Jan,Bord Gais Energy Ltd,1.0
2023,Jan,Borinot Limited,1.0
2023,Jan,Borris Lodge Nursing Home Ltd,1.0
2023,Jan,Boston Scientific Ireland Limited,3.0
2023,Jan,Boulder Media Ltd,1.0
2023,Jan,Boylesports 2 Unlimited Company,1.0
2023,Jan,Brampton Care Ltd,2.0
2023,Jan,Brazil Co (Steel) Ltd,1.0
2023,Jan,Brehon Care Ulc,4.0
2023,Jan,Bridhaven Nursing Home Unlimited Company,5.0
2023,Jan,Brilliant Royal Asian Restaurant,1.0
2023,Jan,Brodericks Food Equipment South Limited,1.0
2023,Jan,Brooklodge Nursing Home Limited,1.0
2023,Jan,Brookridge Farm Ltd,6.0
2023,Jan,Brown Bag Films Unlimited Company,1.0
2023,Jan,Brown Thomas Arnotts Limited,1.0
2023,Jan,Bs2 Limited,1.0
2023,Jan,Bt Communications Ireland Limited,1.0
2023,Jan,Bunclody Engineering Company Limited,1.0
2023,Jan,Bushell Agri Alliance Ltd,1.0
2023,Jan,Bushfield Nursing Home Limited,2.0
2023,Jan,Bushmount Nursing Home Ltd.,1.0
2023,Jan,Butterfly Care Partnership,1.0
2023,Jan,Byrne Looby Partners (Irl) Limited,1.0
2023,Jan,Byrne Mech Ltd,1.0
2023,Jan,Cadence Design Systems (Ireland) Limited,1.0
2023,Jan,Cadmin Limited,1.0
2023,Jan,Caiguna Limited,1.0
2023,Jan,Caiseal Geal Teoranta,1.0
2023,Jan,Calc Global Leasing Limited,1.0
2023,Jan,Camelot Global Services Limited,1.0
2023,Jan,Camile Thai Kitchen Limited,4.0
