Year,Month,Sector,Issued,Refused,Withdrawn
2023,Jan,"A - Agriculture, Forestry & Fishing",87.0,,
2023,Jan,B - Mining & Quarrying,1.0,,
2023,Jan,C - All Other Manufacturing,73.0,,
2023,Jan,C - Manufacture of Chemicals & Pharmaceuticals,62.0,,
2023,Jan,"C - Manufacture of Computers, Electronics & Optica",36.0,,
2023,Jan,"C - Manufacture of Food, Drink & Tobacco",23.0,,
2023,Jan,C - Manufacture of Medical Devices,28.0,,
2023,Jan,D - Electricity & Gas & Air Conditioning Supply,20.0,,
2023,Jan,E - Water Supply - Sewerage Waste Management & Rem,1.0,,
2023,Jan,F - Construction,102.0,,
2023,Jan,G - Wholesale & Retail Trade,17.0,,
2023,Jan,H - Transport & Storage,44.0,,
2023,Jan,I - Accommodation & Food Services activities,213.0,,
2023,Jan,J - Information & Communication Activities,427.0,,
2023,Jan,K - Financial & insurance Activities,190.0,,
2023,Jan,L - Real Estate Activities,2.0,,
2023,Jan,"M - All other Professional, Scientific & Technical",118.0,,
2023,Jan,"M - Professional, Scientific&Technical Activities",22.0,,
2023,Jan,N - Administrative & Support Service Activities,7.0,,
2023,Jan,O - Public Administration & Defence,2.0,,
2023,Jan,P - Education,14.0,,
2023,Jan,Q - Health & Social Work Activities,912.0,,
2023,Jan,"R - Arts , Entertainment and Recreation",25.0,,
2023,Jan,S - Other Service activities,101.0,,
2023,Jan,T - Domestic- Activities of Households as Employer,,,
2023,Feb,"A - Agriculture, Forestry & Fishing",83.0,,
2023,Feb,B - Mining & Quarrying,,,
2023,Feb,C - All Other Manufacturing,45.0,,
2023,Feb,C - Manufacture of Chemicals & Pharmaceuticals,47.0,,
2023,Feb,"C - Manufacture of Computers, Electronics & Optica",42.0,,
2023,Feb,"C - Manufacture of Food, Drink & Tobacco",30.0,,
2023,Feb,C - Manufacture of Medical Devices,11.0,,
2023,Feb,D - Electricity & Gas & Air Conditioning Supply,13.0,,
2023,Feb,E - Water Supply - Sewerage Waste Management & Rem,2.0,,
2023,Feb,F - Construction,99.0,,
2023,Feb,G - Wholesale & Retail Trade,19.0,,
2023,Feb,H - Transport & Storage,70.0,,
2023,Feb,I - Accommodation & Food Services activities,185.0,,
2023,Feb,J - Information & Communication Activities,359.0,,
2023,Feb,K - Financial & insurance Activities,165.0,,
2023,Feb,L - Real Estate Activities,1.0,,
2023,Feb,"M - All other Professional, Scientific & Technical",62.0,,
2023,Feb,"M - Professional, Scientific&Technical Activities",19.0,,
2023,Feb,N - Administrative & Support Service Activities,7.0,,
2023,Feb,O - Public Administration & Defence,1.0,,
2023,Feb,P - Education,10.0,,
2023,Feb,Q - Health & Social Work Activities,791.0,,
2023,Feb,"R - Arts , Entertainment and Recreation",24.0,,
2023,Feb,S - Other Service activities,107.0,,
2023,Feb,T - Domestic- Activities of Households as Employer,,,
2023,Mar,"A - Agriculture, Forestry & Fishing",469.0,,
2023,Mar,B - Mining & Quarrying,,,
2023,Mar,C - All Other Manufacturing,58.0,,
2023,Mar,C - Manufacture of Chemicals & Pharmaceuticals,41.0,,
2023,Mar,"C - Manufacture of Computers, Electronics & Optica",51.0,,
2023,Mar,"C - Manufacture of Food, Drink & Tobacco",19.0,,
2023,Mar,C - Manufacture of Medical Devices,17.0,,
2023,Mar,D - Electricity & Gas & Air Conditioning Supply,27.0,,
