Year,County,Issued,Refused,Withdrawn
2026,Carlow,42,6,0
2026,Cavan,97,16,0
2026,Clare,135,15,0
2026,Cork,651,83,0
2026,Donegal,72,6,0
2026,Dublin,2700,384,0
2026,Galway,186,30,0
2026,Kerry,124,8,0
2026,Kildare,251,56,0
2026,Kilkenny,77,15,0
2026,Laois,54,6,0
2026,Leitrim,22,2,0
2026,Limerick,250,29,0
2026,Longford,20,2,0
2026,Louth,141,14,0
2026,Mayo,64,14,0
2026,Meath,326,27,0
2026,Monaghan,68,7,0
2026,Offaly,41,6,0
2026,Roscommon,54,5,0
2026,Sligo,39,4,0
2026,Tipperary,132,18,0
2026,Waterford,105,7,0
2026,Westmeath,85,8,0
2026,Wexford,168,16,0
2026,Wicklow,72,19,0
