Year,Company,Total
2011,20:20 Imaging Limited,1
2011,24 Hr Care Services Ltd,1
2011,A & F Hollister Ireland Ltd T/A Hollister,3
2011,A B Mauri (Uk) Ltd,1
2011,A T & T Global Network Services Ireland Limited,1
2011,A. W. & E. M. Crawford T/A K.C'S Fish & Chip Shop,1
2011,A.C. Manufacturing Ltd,1
2011,Aarc (Management Consultants) Limited,1
2011,Aarti Restaurants Limited,1
2011,Aarval Ltd T/A Mcdonalds Restaurant,2
2011,Aashim Bajaj T/A The Cinnamon Garden,1
2011,Abacus Systems & Networks Ltd,1
2011,Abbey Breaffy Nursing Home Ltd,1
2011,Abbey Chiropractic Wellness Centre,1
2011,Abbey Fuels Limited,2
2011,Abbey Hospitality Limited,2
2011,Abbey Lands Nursing Home And Alzheimers Unit Limited,2
2011,Abbey Presbyterian Church,1
2011,Abbott Ireland,9
2011,Abbott Laboratories (Irl) Ltd.,2
2011,Absolute Hotel Limerick Limited,1
2011,Abtran Ecare And Fulfillment,1
2011,Acc Bank Plc,1
2011,Accenture,3
2011,Accenture Inc (Philippines),1
2011,Accenture(Ifsc),16
2011,Ace Refrigertion Ltd,1
2011,Aclare House Nursing Home,1
2011,Acra Control Limited,2
2011,Active Mind Technology Ltd,1
2011,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,9
2011,Admiral Administration (Ireland) Ltd,1
2011,Adobe Systems Software Ireland Ltd,1
2011,Advanced Chiropractic & Sport Injury Clinic Ltd,1
2011,Aegon Scottish Equitable International (Dublin),1
2011,Aej European Agency Limited,1
2011,Aibp Cahir,1
2011,Aibp Limited,6
2011,Aibp Limited T/A Aibp Cahir,1
2011,Aibp Ltd (Rathkeale),1
2011,Aibp Nenagh,1
2011,Aileen Lynch (Keogan),1
2011,Aim Cash & Carry,3
2011,Air Atlanta Aero Engineering Ltd,1
2011,Air Sea Forwarding Ltd,1
2011,Airspeed Communications T/A Airspeed Telecom,1
2011,Aisling Gleeson,1
2011,Akash Indian Restaurant,1
2011,Akeview Ltd T/A Yellow Pepper,1
2011,Al Halal Ltd,1
2011,Alan Niall & Ralph Shaw,2
2011,Alan Niall & Ralph Shaw T/A Sancta Maria Nursing Home,3
2011,Albert Enterprises Ltd T/A Albert Building Services,1
2011,Alcatel-Lucent Ireland Ltd,9
2011,Alcon Laboratories Ireland Limited,2
2011,Aldi Stores Ireland Ltd.,2
2011,Alere International Ltd,1
2011,Alessandro Macari,1
2011,Alexandra College,1
2011,All Hallows College,1
2011,All Test Ltd T/A Chicken Hut,2
2011,Allanbay Ltd,2
2011,Allenfield Care Homes,3
2011,Allergan Services International Limited,1
2011,Alliance Medical Diagnostic Imaging Ltd,1
2011,Alliance Select Services Ltd,1
2011,Allianz Worldwide Care,3
2011,Alpha Wireless Ltd,1
2011,Alps Electric (Ireland) Limited,1
2011,Alzaro Ltd,1
2011,Amazon Data Services Ireland Ltd,8
2011,Ambassador Restaurant,1
2011,Amber Health Care Ltd,2
2011,Amber Springs Hotel Ltd,1
2011,Amdocs Software Systems Limited,1
2011,Amentum Capital Ltd,1
2011,Amgen Technology (Ireland) Ltd,8
2011,Amigo'S Ristorante Ltd T/A Amigo'S Ristorante,1
2011,Ammajaan Limited,1
2011,Ammeon Ltd,5
2011,Ampleforth Ltd.,1
2011,Ampleforth Ltd. T/A Fitzwilliam Hotel,2
2011,Ams Medical Systems Irl Ltd,1
2011,Anacapa Holdings Ltd T/A Free-Hotspot.Com,1
2011,Analog Devices,6
2011,Andrew And Margaret Heffernan T/A Mitchelstown Stud,1
2011,Angie & Ricky Lee,3
2011,Angie & Ricky Lee T/A Love Lee'S Asian Restaurant,1
2011,Anglo American Lisheen Mining Limited T/A The Lisheen Mine,1
2011,Anglo Irish Bank,2
2011,Anglo Irish Beef Processors (Clones),3
2011,Anglo Irish Beef Processors (Waterford),1
2011,Anglo Irish Beef Processors International,7
2011,Anglo Irish Engineering Projects Ltd,1
2011,Ann Marie Barden T/A Marble City Barbers,1
2011,Ann Wehrly,1
2011,Annabeg Enterprises,1
2011,Annabeg Nursing Home,2
2011,Anne Barrington,1
2011,Anne Marie Curtin,1
2011,Anne Treanor,1
2011,Anne Wilson,1
2011,Anphabe Ltd,1
2011,Anthony Barry,1
2011,Anthony Locke/John Delaney/ Patrick Thorpe,1
2011,Anthony Sweeney,1
2011,Anthony Williams,2
2011,Antonio & Guiliano Di Murro,1
2011,Aol Europe Operations Limited,1
2011,Aol Technologies Ireland Limited,3
2011,Aontacht Phobail Teo,1
2011,Apica Cardiovascular Ltd,1
2011,Appassionata Flowers,1
2011,Appit Ltd,1
2011,Apple Operations Europe,7
2011,Aras Aoibhinn Nursing Home Ltd,1
2011,Arch Chemicals B V,1
2011,Arcourt Ltd. T/A Sheldon Park Hotel,1
2011,Ard Services Limited,11
2011,Ardcullen Ltd T/A Donatellos,1
2011,Ardeeshal Lodge Limited,2
2011,Ardilaun House Hotel Limited,1
2011,Ardkeen Superstores Ltd,1
2011,Ardmore Shipping Ltd,2
2011,Argos Distributors (Irl) Ltd,4
2011,Argosy Libraries Ltd,1
2011,Aristotle It Services Ltd,1
2011,"Armada Hotel - Armada Holdings Ltd.,",1
2011,Arvato Finance Services Ltd,3
2011,Ashbourne Meat Processors,1
2011,Ashbourne Meats Roscrea,1
2011,Ashbourne Rugby Football Club,1
2011,Ashbourne Visitor Centre Ltd,1
2011,Ashford Castle Estate Ltd T/A Ashford Castle,1
2011,Ashford House Nursing Home Ltd,6
2011,Ashgar Ali T/A Village Inn,1
2011,Ashjen Ltd,1
2011,Ashlawn House Nursing Home,2
2011,Asia Market Limited,2
2011,Asian Food Store & Catering Equipment Ltd,1
2011,Aspect Software Irl Ltd,1
2011,Aspen Pharma Trading Limited,1
2011,Astellas Ireland Ltd,3
2011,Athletic Association Of Ireland Ltd,1
2011,Athlone V.E. Limited T/A Vision Express,1
2011,Atick Catering Limited T/A Kasturi,1
2011,Atlanco Ltd.,1
2011,Atlanta House Nursing Home,5
2011,Atlantic Container Agencies Ltd,3
2011,Atlantic Homecare Ltd T/A Atlantic Homecare & Garden Centre,1
2011,Atlantic Industries,1
2011,Aughinish Alumina Ltd,1
2011,Autism Spectrum Disorder Intiatives Limited,1
2011,Automatic Netware Ltd,1
2011,Autometric Ltd,1
2011,Ava Capital Markets Limited,1
2011,Avaya International Sales Ltd,2
2011,Avego Ltd,4
2011,Aviva Group Services Ireland Limited,3
2011,Avondale Nursing Home,3
2011,Avtd Ltd,1
2011,Awas (Ireland) Ltd,1
2011,Axa Global Distributors (Ireland) Limited,1
2011,Azhar Mahmood T/A Sangam 1 Restaurant,1
2011,B.Braun Medical Ltd,1
2011,Ba Tallaght Limited,2
2011,Baan Siam Cuisine Ltd,1
2011,Bagram Foods Ltd,1
2011,Bahaa Marks Limited,1
2011,Bailey Seafoods Ltd T/A Aqua Restaurant,1
2011,Bainistiocht Àras Gaoth Dobhair Teoranta,1
2011,Ballincurrig Care Centre Ltd,3
2011,Ballon Meats Ltd.,1
2011,Ballybane & Mervue Community Dev Ltd,1
2011,Ballydoyle Racing (Golden Dale) Limited.,3
2011,Ballyfermot Home Help Services Ltd,2
2011,Ballylinch Stud,1
2011,Ballymascanlon House Hotel,1
2011,Bamboo Garden Limited,1
2011,Bank Of Ireland,5
2011,Bannon Commercial Property Consultants Limited T/A Bannon Commercial,1
2011,Barbara Collins,1
2011,Barberstown Holdings Ltd T/A Barberstown Castle,1
2011,Barravore Ltd,1
2011,Barretstown Gang Camp,8
2011,Barringtons Medical Centre,1
2011,Barrowvalley Construction Limited,1
2011,Barry Mcnerney & Paul Mcnerney T/A Juniors Cafe Deli,1
2011,Barty O'Brien Ltd,1
2011,Baxter Healthcare S.A.,2
2011,Bdf Commercials Ltd,1
2011,Bdo,1
2011,Beacon Dialysis Services Ltd,2
2011,Beacon Financial Ltd,1
2011,Bearingpoint Ireland Limited,1
2011,Beata Jezekova,1
2011,Beaufields Mews Restaurant.,1
2011,Beaumont Chinese Take Away,1
2011,Beaumont Convalescent Home,1
2011,Beaumont Hospital,50
2011,Beaumont Residential Care Ltd.,2
2011,Beauty Plus Brow Bar (Ireland) Limited,1
2011,Beckman Coulter Biomedical Limited,1
2011,Becton Dickinson And Co Ltd,1
2011,Beech Lodge Nursing Home,1
2011,Beech Wood House Nursing Home,4
2011,Beechfield Nursing Homes Limited,5
2011,Beechtree Healthcare Limited,7
2011,Beechwood Childcare,2
2011,Belarmine Pharmacy Ltd,1
2011,Belgard Catering Ltd T/A Tamara,1
2011,Belmont Care Ltd,1
2011,Beneavin House Limited,7
2011,Beneavin House Limited T/A Beneavin House,2
2011,Beneavin Lodge Ltd,1
2011,Beneavin Lodge Ltd Nursing & Retirement Homes,2
2011,Bentley Systems International Limited,1
2011,Berkway Limited,1
2011,Bernadette M Mcintyre,1
2011,Bernard Kealy T/A Spar Gleneaston,1
2011,Bertelsmann Distribution Financial Services,1
2011,Beshoffs Of Howth Ltd,1
2011,Bestseller Retail Ireland,1
2011,Betatherm Ireland Limited T/A Measurement Specialties,1
2011,Bincorey Limited T/A The Pines,1
2011,Bing Chi Chau T/A Collooney Chinese Takeaway,1
2011,Bioniche Teoranta,1
2011,Biotech Alternative Green Energy Limited,1
2011,Bioware Ireland Limited,3
2011,Bishopscourt Residential Care Ltd.,3
2011,Black N Blue Grill Ltd,1
2011,Blackrock Asset Management Limited Ireland,2
2011,Blackrock Clinic,5
2011,Blackrocks Nursing Home,1
2011,Blairs Hills Nursing Home,1
2011,Blanchardstown & Inner City Home Care Association Ltd,1
2011,Blarney Nursing And Retirement Home Ltd,7
2011,Blg Financial Consultants Ltd,1
2011,Blizzard Entertainment Ireland Ltd,17
2011,Bloomfield Care Centre Ltd,6
2011,Blue Demons Basketball Club,1
2011,Blue Myosotis Limited,2
2011,Blue Silver Merchandise T/A Supervalu,1
2011,Bnp Paribas Fund Services Dublin Ltd,1
2011,Bny Mellon Fund Services (Ireland) Ltd,2
2011,Bohemian Football Club Limited,1
2011,"Bon Secours Hospital, Cork",9
2011,"Bon Secours Hospital, Dublin",11
2011,"Bon Secours Hospital, Kerry",2
2011,Bonanza Food Limited T/A East Garden Chinese Restaurant,1
2011,Bootstrap Ltd.,1
2011,Boran Plastic Packaging Ltd,1
2011,Borris Lodge Nursing Home,1
2011,Boston Cleaners Ltd,1
2011,Boston Scientific Clonmel Ltd,1
2011,Boston Scientific Ireland,2
2011,Bowen Construction Ltd,1
2011,Boylan & Dodd Chartered Accountants,1
2011,Boyle Tapas Restaurant,1
2011,Brady Family Ltd.,1
2011,Brandt Translations Ltd,1
2011,Brasserie Grastropub 15 Ltd,1
2011,Brd Nursing Home Ltd,4
2011,Brecon (Care) Limited,3
2011,Breen International Logistics Ltd,1
2011,Brehon Care Limited,15
2011,Brehon Care Limited T/A The Marlay,1
2011,Brian Behan Enterprises Ltd T/A Clane Commons Service Station,1
2011,Brian Hogan,1
2011,Brian Noone Ltd.,1
2011,Brian O'Hara T/A Spar Glenageary,2
2011,Brian O'Reilly,3
2011,Bridge Dale Homes,1
2011,Bridgelynn Limited,1
2011,Bridgelynn Limited T/A Little Flower Nursing Home,2
2011,Bright Blade Limited,1
2011,Bright Horizons Family Solutions Ireland Ltd,1
2011,Brindley Manor Nursing Home Limited,3
2011,Broadford Cleaning And Maintenance Services Ltd T/A Direct Cleaning Services,1
2011,Broadford Holdings,1
2011,Broadford International Ltd,1
2011,Broadford International Ltd T/A Cleaning Contractors,5
2011,Broadway Bagels Ltd,1
2011,Brocade Communications Ireland Limited,1
2011,Brookfield Care Services Ltd T/A Brookfield Care Centre,2
2011,Brookhaven Nursing Home Ltd,1
2011,Brooklodge Nursing Home,1
2011,Brophy & Co Chartered Accountants,1
2011,Brophy Solicitors,1
2011,Brothers Of Charity (Cork),1
2011,Brothers Of Charity Services Ltd (Galway),1
2011,Brown Bag Films Ltd,10
2011,Brown Brothers Harriman Fund Administration Services Ltd,6
2011,Bru Bar & Hostel T/A Escape,2
2011,Bryan Greene & Co. Ltd.,1
2011,Brymore House Nursing Home Ltd,4
2011,Bulgari Ireland Limited,1
2011,Bunratty Shopping Village Ltd,2
2011,Burke Bros Son & Co Ltd,1
2011,Bus Eireann,1
2011,Bushgrove Ltd T/A Euro2,1
2011,Bushy Park Nursing Home Ltd.,2
2011,Business Objects Software Ltd,2
2011,Byrdan Ltd,1
2011,C I Consultancy Ltd,3
2011,C.F. Quality Decorators Limited,1
2011,Cabra Parish Roman Catholic Most Precious Blood Church,1
2011,Cadence Design Systems (Ireland) Ltd,1
2011,Cadmus Software Ltd,1
2011,Cafe Sarie Ltd,1
2011,Cafe Togo (Powerscourt) Limited,1
2011,Cagentt Ltd,1
2011,Cahereen Residential Care Ltd,3
2011,Calmos Investments Ltd,1
2011,Camara Education Limited,1
2011,Camillo Borza,2
2011,Camillus Healthcare Limited,1
2011,Camison Ltd T/A Auburn Lodge Hotel,1
2011,Campbell Catering Limited Head Office,2
2011,Campbell Catering Ltd,1
2011,Campus It Ltd,1
2011,Canada Life Group Services Ltd T/A London Life And General Reinsurance,1
2011,Candela Healthcare Ltd,2
2011,Candela Healthcare Ltd T/A Kerlogue Nursing Home,2
2011,Candor Holdings Limited,1
2011,Capgemini India Private Limited,1
2011,Capita Business Services,2
2011,Capita Life And Pensions Services (Ireland) Limited,2
2011,Cappoquin Poultry Ltd,3
2011,Carechoice (Dungaravan) Ltd,5
