Year,Month,Company,Total
2024,Jan,3 Amigos Recruits Limited,1.0
2024,Jan,4F Pizzeria Limited,1.0
2024,Jan,A & L Goodbody,1.0
2024,Jan,A-Pmg Limited,1.0
2024,Jan,Abb Limited,1.0
2024,Jan,Abbey Fire Safety Consultants Limited,1.0
2024,Jan,Abbey Machinery Limited,4.0
2024,Jan,Abbey Physiotherapy Ltd,1.0
2024,Jan,Abbeylands Nursing Home & Alzheimers Unit Ltd,1.0
2024,Jan,Abbot Close Nursing Home Ltd,4.0
2024,Jan,Abbott Ireland,5.0
2024,Jan,Abbott Rapid Dx International Limited,1.0
2024,Jan,Abbvie Ireland Nl Bv,1.0
2024,Jan,Accenture Global Solutions Limited,1.0
2024,Jan,Accenture Limited,28.0
2024,Jan,Accs Morgan Investments Limited,1.0
2024,Jan,Aclare Nursing Home,1.0
2024,Jan,Acorn Healthcare Ltd,2.0
2024,Jan,Actavo (Ireland) Limited,1.0
2024,Jan,Activision Blizzard Ireland Ltd,3.0
2024,Jan,Addleshaw Goddard (Ireland) Llp,1.0
2024,Jan,Adobe Systems Software Ireland Limited,1.0
2024,Jan,Ae Taverns Limited,1.0
2024,Jan,Aebe Limited,1.0
2024,Jan,Aer Lingus (Ireland) Limited,1.0
2024,Jan,Aerogen Limited,1.0
2024,Jan,Affidea Diagnostics Ireland Limited,6.0
2024,Jan,Afiniti Ai Limited,1.0
2024,Jan,Aggreko Ireland Limited,1.0
2024,Jan,Aherns Garage Ltd,1.0
2024,Jan,Ai Lian Ma,1.0
2024,Jan,Aidan Doherty Transport Ltd,1.0
2024,Jan,Aig Europe Sa,1.0
2024,Jan,Airmid Health Group Limited,1.0
2024,Jan,Alban Qiraxhiu,1.0
2024,Jan,Alcon Laboratories Ireland Limited,1.0
2024,Jan,Alder Clover Limited,1.0
2024,Jan,Alexion Pharma International Operations Limited,1.0
2024,Jan,Alfredo'S Catering Ltd,1.0
2024,Jan,All About Healthcare,3.0
2024,Jan,All Fresh Wholesale Limited,2.0
2024,Jan,All In Care Limited,10.0
2024,Jan,Allanbay Limited,3.0
2024,Jan,Allen Outsource Limited,2.0
2024,Jan,Allergan Pharmaceuticals Ireland Ulc,3.0
2024,Jan,Allianz Technology Se,1.0
2024,Jan,Allied Consultant Engineering Ltd,1.0
2024,Jan,Allied Infosys Limited,1.0
2024,Jan,Allied Irish Banks Public Limited Company,4.0
2024,Jan,Alter Domus Fund Services (Ireland) Limited,1.0
2024,Jan,Amarition Limited,1.0
2024,Jan,Amazon Data Services Ireland Limited,10.0
2024,Jan,Amazon Development Centre Ireland Limited,36.0
2024,Jan,Amazon Ireland Support Services Ltd,17.0
2024,Jan,Amazon Web Services Emea Sarl,16.0
2024,Jan,Amber Health Care Limited,3.0
2024,Jan,Amo Ireland,1.0
2024,Jan,An Saol Foundation Clg,1.0
2024,Jan,Analog Devices International Unlimited Company,5.0
2024,Jan,Ancestry Ireland Unlimited Company,1.0
2024,Jan,"Andrew, Charles And Pauline Clarke",1.0
2024,Jan,Anglo Beef Processors Ireland,21.0
2024,Jan,Anglo Beef Processors Ireland Unlimited Company,72.0
2024,Jan,Aniar Solutions Ltd,1.0
2024,Jan,Anns Home Care Ire Limited,13.0
2024,Jan,Anthony Reddy Associates Architects Limited,3.0
2024,Jan,Ap Car Sales Galway Limited,1.0
2024,Jan,Aperee Living Tralee Limited,1.0
2024,Jan,App Solutions Software Lab Limited,1.0
2024,Jan,Apple Distribution International Limited,4.0
2024,Jan,Applewood Homecare Ltd,3.0
2024,Jan,Applied Communications (Ireland) Limited,1.0
2024,Jan,Applied Materials Ireland Limited,5.0
