Year,Company,Total
2017,36 Degrees North Consultancy Solutions Limited,1
2017,3D Issue Limited,1
2017,3D4Medical Limited,1
2017,3M Ireland Limited,1
2017,4D Pharma Cork Limited,1
2017,4Efulfillment.Com Ltd T/A 4Giftsdirect.Com,1
2017,4Pm Kennedy Estates Limited,1
2017,4Tech Cardio Ireland Ltd,1
2017,9 Story Distribution International Limited,2
2017,A-Techsyn Limited,2
2017,Aa Ireland Limited,2
2017,Aarc (Management Consultants) Limited,1
2017,Aask Asian Cuisine Limited,1
2017,Abb Limited,1
2017,Abbey Lands Nursing Home And Alzheimers Unit Limited,2
2017,Abbeybreaffy Nursing Home Ltd,7
2017,Abbott Ireland,18
2017,Abbvie Ireland Nl Bv,9
2017,Abec Technologies Europe Limited,1
2017,Abtran Ecare And Fulfillment,1
2017,Abtran Ltd,1
2017,Accela Ireland Limited,1
2017,Accenture,3
2017,Accenture Global Solutions Limited,35
2017,Accenture Limited,245
2017,Accountancy & Business College (Ireland) Limited,1
2017,Accountaxassist Accountants Limited,1
2017,Ace Autobody Ltd,1
2017,Aclare House Nursing Home,1
2017,Acorn Brokerage,1
2017,Acquirer Systems Ltd,3
2017,Actavo Group Limited,1
2017,Action Point Innovation Limited,1
2017,Activision Blizzard Ireland Ltd,9
2017,Adalma Ltd.,1
2017,Adams & Butler Limited,1
2017,Adaptive Hvm Limited,1
2017,Adaptive Mobile Security Limited.,2
2017,Adara Media Unlimited Company,1
2017,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,113
2017,Adept Medical Limited,1
2017,Adhesives Research Ireland Ltd,1
2017,Admiral Restaurant Limited,1
2017,Adobe Systems Software Ireland Ltd,4
2017,Adquantum Limited,1
2017,Adroll Advertising Limited,2
2017,Adtec Teoranta,1
2017,Advanced Laboratory Testing Ltd.,1
2017,Adventure Publishing Limited,1
2017,Aebe Limited,1
2017,Aegon Ireland Plc,1
2017,Aer Lingus (Ireland) Limited,2
2017,Aercap Ireland Limited,3
2017,Aerogen Ltd,2
2017,Affidea Diagnostics Ireland Limited,1
2017,Affirma Consulting Ireland Limited,1
2017,Agra Trading Limited,1
2017,Ahmad Hasan,1
2017,Ahmad Shazad Kalo,1
2017,Aidan Finn Ltd,1
2017,Aidan Sawyer,2
2017,Aig Europe (Services) Limited,1
2017,Aig Europe Limited,7
2017,Airbnb Ireland Ltd,7
2017,Airtel Atn Limited,1
2017,Ak & Ka Ventures Limited,1
2017,Aksiom Capital Management (Ie) Limited,1
2017,Alafco Aviation Lease And Finance Dac,1
2017,Alcatel-Lucent Ireland Ltd,12
2017,Alchemy Media Opco Ltd,1
2017,Alcon Laboratories Ireland Limited,2
2017,Alexion Pharma International Operations Uc,1
2017,Alig'S Limited,3
2017,Alkimii Limited,1
2017,Alkimii Ltd.,2
2017,All Seasons Flowers Ltd,1
2017,All-Technology (Ireland) Limited,6
2017,Allanbay Ltd,4
2017,Allenfield Care Homes Limited,7
2017,Allenfield Care Homes Ltd,2
2017,Allergan Pharmaceuticals International Ltd,3
2017,Alliance Medical Diagnostic Imaging Ltd,10
2017,Allianz Global Life Limited,1
2017,Allianz Managed Operations Services Se,2
2017,Allianz Plc,5
2017,Allianz Worldwide Care Limited,1
2017,Allied Imports Ltd,1
2017,Allied Irish Banks Plc,2
2017,Alokozai International Limited,1
2017,Alpha Dental Limited,2
2017,Alps Electric (Ireland) Ltd,2
2017,Altitude Internet Technology Limited,1
2017,Alucraft Ltd.,2
2017,Amaris Limited,1
2017,Amazon Cs Ireland Ltd,5
2017,Amazon Data Services Ireland Ltd,160
2017,Amazon Web Services Ireland Ltd,107
2017,Amber Health Care Ltd,4
2017,Amcrest Global Holdings Ltd,1
2017,Amdocs Software Systems Limited,23
2017,American Power Conversion Corporation (Apc) B.V.,1
2017,Amgen Technology (Ireland) Ltd,4
2017,Amgen Technology (Ireland) Unlimited Company,1
2017,Amisoft Technologies Ireland Pvt Limited,2
2017,Ammeon Ltd,3
2017,An Breacadh Nua,1
2017,Analog Devices International,8
2017,Analytical Medical Insight Ltd.,1
2017,Anam Technologies Ltd.,1
2017,Anderco Safety (Ireland) Ltd.,1
2017,Andiamo Foods Limited,1
2017,Andy & Sj Limited,1
2017,Angel Restaurant Ltd,2
2017,Anglo Beef Processors Ireland,8
2017,Anglo Beef Processors Ireland Unlimited Company,13
2017,Anglo Irish Beef Processors (Waterford),7
2017,Anh Healthcare Ltd.,2
2017,Anovocare Limited,1
2017,Anthony Coughlan,1
2017,Anthony Williams,1
2017,Anthony'S Chinese Take Away,1
2017,Anvik Company Ltd,2
2017,Aol Technologies (Ireland) Limited,1
2017,Aon Centre For Innovation & Analytics Limited,1
2017,Aon Insurance Managers (Dublin) Limited,2
2017,Apollo Aviation Management Limited,1
2017,App Solutions Software Lab Limited,1
2017,Appirio Limited,1
2017,Appistoki Ireland Limited,1
2017,Apple Distribution International,20
2017,Apple Operations Europe,19
2017,Applied Communications (Ireland) Limited,1
2017,Applied Process Consulting Limited,6
2017,Applovin Limited,2
2017,Apridata Limited,1
2017,Aptech Business Systems Ltd T/A Intact Software,1
2017,Araglen House Nursing Home Limited,2
2017,Aran Biomedical Teoranta,1
2017,Aras Slainte Ltd,3
2017,Archview Lodge Nursing Home Ltd,1
2017,Archview Physiotherapy Limited,1
2017,Ardan Capital Limited,1
2017,Ardanis Technologies Limited,2
2017,Ardeeshal Lodge Limited,2
2017,Ardmore Care Home Group Limited,2
2017,Ardmore Lodge Nursing Home Limited,7
2017,Ardmore Shipping Services (Ireland) Ltd,3
2017,Arista Networks Limited,8
2017,Arisu Korean Restaurant Limited,2
2017,Arm Ireland Limited,2
2017,Armada Hotel Holdings Ltd,1
2017,Arralis Limited,1
2017,Arralis Ltd,1
2017,Artesyn Biosolutions Ireland Ltd,1
2017,Arthur Cox Unlimited Company,3
2017,Arthur Cummings Eye Clinic Limited,1
2017,Artisan Foods Ltd,1
2017,Artizan Catering Ltd,1
2017,Artomatix Ltd,2
2017,Artzone Limited,1
2017,Arvato Finance Services Limited,13
2017,Arvato Finance Services Ltd,20
2017,Arvato Scm Ireland Limited,1
2017,Asana Software Ireland Limited,2
2017,Asavie Technologies Limited,1
2017,Ashlawn House Nursing Home,2
2017,Ashley Lodge Nursing Home Ltd,2
2017,Ashling Microsystems Ltd,1
2017,Ashok & Arshad & Anwar Ventures Limited,1
2017,Askeaton Catering Limited,1
2017,Aspect Software Irl Ltd,1
2017,Aspen Pharma Ireland Ltd,4
2017,Aspen Pharma Trading Limited,3
2017,Aspen Ventures Limited,1
2017,Aspiracon Ltd,3
2017,Aspire Technology Limited,10
2017,Assisi Ltd,2
2017,Astec Global Consultancy Limited,1
2017,Astellas Ireland Ltd,3
2017,Async Technologies Ltd,2
2017,Atami Food Services Limited,1
2017,Athlunkard Nursing Home,1
2017,Atlanta Private Nursing Home Limited,1
2017,Atlantic Aviation Group,1
2017,Atlantic Container Agencies Ltd,1
2017,Atlas Copco Finance Dac,1
2017,Atlas Language Institute T/A Atlas Language School,2
2017,Atradius Reinsurance Ltd,1
2017,Attitude Technologies Limited,1
2017,Aut O'Mattic A8C Ireland,1
2017,Autokey Automotive Ltd,2
2017,Av Pound & Co. Ltd,1
2017,Ava Trade Eu Limited,2
2017,Avaya International Sales Ltd,1
2017,Avestus Capital Partners Unlimited Company,1
2017,Avia Capital Leasing Limited,1
2017,Aviation Services (Ireland) Ltd,1
2017,Aviva Group Services Ireland Limited,5
2017,Avolon Aerospace Leasing Limited,3
2017,Awn Consulting Limited,1
2017,Awp Health & Life Sa,1
2017,Axa Group Services Ltd,1
2017,Axonista Limited,1
2017,Aylien Ltd.,1
2017,Azex Limited,1
2017,B & D Healthcare Company Ltd,3
2017,B+B Smartworx Limited,2
2017,B.F.M Bespoke Furniture Manufacturers Limited,2
2017,B.M.C. (Nursing Home) Limited,4
2017,Baboro Galway International Children'S Festival Clg,1
2017,Backup Marketing Ltd,1
2017,Badminton Union Of Ireland Company Limited By Guarantee,1
2017,Bae Systems Applied Intelligence (Ireland) Limited,4
2017,Bailey Seafoods Ltd T/A Aqua Restaurant,1
2017,Balbriggan Cricket Club,1
2017,Ballincurrig Care Centre Ltd,5
2017,Ballymount Foods Ltd T/A Maxol Mace,1
2017,Bank Of America Merrill Lynch International Limited,5
2017,Bank Of America Merrill Lynch International Ltd. - Dublin Branch,1
2017,Bank Of China (Uk) Limited (Dublin Branch),4
2017,Bank Of Ireland,4
2017,Bank Of Ireland Group Plc,3
2017,Bank Of Montreal Ireland Plc,1
2017,Banktech Software Services Limited,2
2017,Bantry General Hospital,1
2017,Barelle Limited,1
2017,Barnacyle Nursing Home Ltd,3
2017,Barnacyle Nursing Home Ltd T/A Thorpe'S Nursing Home,1
2017,Barnardos - Republic Of Ireland Ltd,1
2017,Barrett Mahony Consulting Engineers Ltd,1
2017,Barry Canny,1
2017,Barsan Global Logistics (Ie) Limited,1
2017,Bartra Capital Property Management Limited,1
2017,Baseline It Limited,1
2017,Baxter Shared Services Competencies Ltd,1
2017,Bay Spring Limited,3
2017,Bayer Limited,1
2017,Bbam Aviation Service Ltd,1
2017,Bd Sea Food Limited,1
2017,Bdb Engineering Consulting And Project Management Limited,1
2017,Bdo,5
2017,Beacon Dialysis Services Ltd,2
2017,Beacon Hospital Sandyford Limited,20
