Year,Month,Sector,Issued,Refused,Withdrawn
2017,Jan,Agriculture & Fisheries,3,1,0
2017,Jan,Catering,7,11,1
2017,Jan,Education,2,2,0
2017,Jan,Industry,76,7,0
2017,Jan,Medical & Nursing,509,18,20
2017,Jan,None specified,1,10,1
2017,Jan,Service Industry,243,25,5
2017,Feb,Agriculture & Fisheries,12,7,0
2017,Feb,Catering,15,28,0
2017,Feb,Domestic,0,1,0
2017,Feb,Education,8,5,0
2017,Feb,Entertainment,2,3,0
2017,Feb,Exchange Agreements,2,0,0
2017,Feb,Industry,91,15,6
2017,Feb,Medical & Nursing,171,16,11
2017,Feb,None specified,14,27,3
2017,Feb,Service Industry,341,89,16
2017,Feb,Sport,2,1,0
2017,Mar,Agriculture & Fisheries,7,2,0
2017,Mar,Catering,23,13,0
2017,Mar,Domestic,0,0,1
2017,Mar,Education,4,2,1
2017,Mar,Entertainment,5,0,0
2017,Mar,Industry,135,19,3
2017,Mar,Medical & Nursing,234,22,10
2017,Mar,None specified,6,16,1
2017,Mar,Service Industry,450,55,10
2017,Mar,Sport,7,0,0
2017,Apr,Agriculture & Fisheries,6,0,0
2017,Apr,Catering,18,9,0
2017,Apr,Domestic,0,1,0
2017,Apr,Education,7,1,0
2017,Apr,Entertainment,1,1,0
2017,Apr,Industry,88,7,2
2017,Apr,Medical & Nursing,233,13,7
2017,Apr,None specified,12,11,3
2017,Apr,Service Industry,225,29,4
2017,Apr,Sport,4,0,0
2017,May,Agriculture & Fisheries,10,1,0
2017,May,Catering,14,24,1
2017,May,Domestic,0,1,0
2017,May,Education,9,0,0
2017,May,Entertainment,6,1,0
2017,May,Industry,193,10,2
2017,May,Medical & Nursing,650,34,23
2017,May,None specified,21,13,3
2017,May,Service Industry,407,43,5
2017,May,Sport,5,1,0
2017,Jun,Agriculture & Fisheries,8,2,0
2017,Jun,Catering,14,11,0
2017,Jun,Education,6,0,0
2017,Jun,Entertainment,6,0,0
2017,Jun,Exchange Agreements,1,0,0
2017,Jun,Industry,99,6,2
2017,Jun,Medical & Nursing,719,29,26
2017,Jun,None specified,7,15,1
2017,Jun,Service Industry,423,48,8
2017,Jun,Sport,5,0,0
2017,Jul,Agriculture & Fisheries,36,8,0
2017,Jul,Catering,42,20,2
2017,Jul,Education,8,0,0
2017,Jul,Entertainment,6,0,0
2017,Jul,Exchange Agreements,6,1,0
2017,Jul,Industry,146,31,0
2017,Jul,Medical & Nursing,468,33,15
2017,Jul,None specified,14,25,4
2017,Jul,Service Industry,471,77,5
2017,Jul,Sport,2,4,0
2017,Aug,Agriculture & Fisheries,15,9,0
2017,Aug,Catering,27,14,2
2017,Aug,Education,7,1,0
2017,Aug,Entertainment,8,0,0
2017,Aug,Exchange Agreements,1,0,0
2017,Aug,Industry,125,16,6
2017,Aug,Medical & Nursing,199,14,5
2017,Aug,None specified,26,18,2
2017,Aug,Service Industry,400,57,11
2017,Aug,Sport,4,2,0
2017,Sep,Agriculture & Fisheries,25,3,6
2017,Sep,Catering,34,19,1
2017,Sep,Education,5,3,0
2017,Sep,Entertainment,2,0,0
2017,Sep,Exchange Agreements,0,1,0
2017,Sep,Industry,115,7,2
2017,Sep,Medical & Nursing,186,23,3
2017,Sep,None specified,15,23,1
2017,Sep,Service Industry,485,58,10
2017,Sep,Sport,2,0,0
2017,Oct,Agriculture & Fisheries,8,3,2
2017,Oct,Catering,26,12,2
2017,Oct,Education,9,1,1
2017,Oct,Entertainment,4,1,0
2017,Oct,Exchange Agreements,3,0,0
2017,Oct,Industry,178,16,2
2017,Oct,Medical & Nursing,247,20,4
2017,Oct,None specified,27,15,0
2017,Oct,Service Industry,580,59,14
2017,Oct,Sport,5,1,0
2017,Nov,Agriculture & Fisheries,2,1,0
2017,Nov,Catering,23,14,0
2017,Nov,Education,11,3,0
2017,Nov,Entertainment,5,2,0
2017,Nov,Exchange Agreements,1,0,0
2017,Nov,Industry,138,7,1
2017,Nov,Medical & Nursing,336,16,11
2017,Nov,None specified,23,16,1
2017,Nov,Service Industry,510,50,13
2017,Nov,Sport,5,1,0
2017,Dec,Agriculture & Fisheries,20,3,1
2017,Dec,Catering,17,8,0
2017,Dec,Domestic,0,1,0
2017,Dec,Education,3,1,0
2017,Dec,Entertainment,4,0,0
2017,Dec,Exchange Agreements,3,0,0
2017,Dec,Industry,86,5,0
2017,Dec,Medical & Nursing,334,24,8
2017,Dec,None specified,8,8,4
2017,Dec,Service Industry,288,21,4
2017,Dec,Sport,2,1,1
