id_county,Year,County,Issued,Refused,Withdrawn
2017Carlow,2017,Carlow,25,13,0
2017Cavan,2017,Cavan,152,12,2
2017Clare,2017,Clare,73,25,4
2017Cork,2017,Cork,890,106,34
2017Donegal,2017,Donegal,181,17,5
2017Dublin,2017,Dublin,6755,791,153
2017Galway,2017,Galway,430,59,17
2017Kerry,2017,Kerry,162,28,9
2017Kildare,2017,Kildare,303,41,9
2017Kilkenny,2017,Kilkenny,148,15,8
2017Laois,2017,Laois,66,11,2
2017Leitrim,2017,Leitrim,5,1,1
2017Limerick,2017,Limerick,375,44,10
2017Longford,2017,Longford,41,9,1
2017Louth,2017,Louth,269,43,11
2017Mayo,2017,Mayo,176,22,3
2017Meath,2017,Meath,185,59,13
2017Monaghan,2017,Monaghan,37,6,1
2017Offaly,2017,Offaly,80,7,7
2017Roscommon,2017,Roscommon,54,10,4
2017Sligo,2017,Sligo,126,8,7
2017Tipperary,2017,Tipperary,170,29,3
2017Waterford,2017,Waterford,211,32,3
2017Westmeath,2017,Westmeath,175,14,2
2017Wexford,2017,Wexford,187,25,7
2017Wicklow,2017,Wicklow,76,25,2
2017Others,2017,Others,9,6,1
