Year,Company,Total
2013,3 Leaves Technology Ltd.,2
2013,365 Hosting Ltd T/A Hosting 365,1
2013,3V Transaction Services Ltd.,1
2013,A T & T Global Network Services Ireland Limited,1
2013,Aa Ireland Limited,1
2013,Ab & Ar Catering Limited,1
2013,Abbey Breaffy Nursing Home Ltd,1
2013,Abbey Capital Limited,1
2013,Abbey Healthcare,1
2013,Abbey Lands Nursing Home And Alzheimers Unit Limited,2
2013,Abbott Ireland,9
2013,Abbott Mature Products Management Ltd,2
2013,Abbvie Ireland Nl Bv,9
2013,Absolute Retail Control,1
2013,Acapulco Mexican Restaurant Ltd.,1
2013,Accenture Llp,2
2013,Accenture Uk Limited,1
2013,Accenture(Ifsc),47
2013,Accountancy & Business College (Ireland) Limited,1
2013,Accuris,2
2013,Acra Control Limited,1
2013,Active Mind Technology Ltd,1
2013,Adaptive Mobile Security Limited.,1
2013,Adara Media,2
2013,Adc Plasticard Limited,1
2013,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,2
2013,Adroit It Solutions Limited,2
2013,Adroll Advertising Limited,4
2013,Advanced Telephone Systems Ltd,2
2013,Aegon Ireland Plc,1
2013,Aej European Agency Limited,1
2013,Afilias Technologies Limited,2
2013,Aidan Sawyer,1
2013,Aig Europe Limited,3
2013,Ailesbury I.T. Limited,1
2013,Air Sea Forwarding Ltd,1
2013,Airbnb Ireland Ltd,2
2013,Airlinn Limited,1
2013,Alcatel-Lucent Ireland Ltd,6
2013,Aldi Stores Ireland Ltd.,1
2013,Alere International Ltd,1
2013,Alexion Pharma International Trading,2
2013,Ali Shaukat,1
2013,Alimentary Health Limited,1
2013,All Regions Ltd.,2
2013,Allanbay Ltd,2
2013,Allenfield Care Homes Limited,1
2013,Allenfield Care Homes Ltd T/A Innis Ree Lodge,1
2013,Allianz Global Life Limited,1
2013,Allianz Ireland Plc.,1
2013,Allianz Re Dublin Limited,1
2013,Allianz Worldwide Care Limited,4
2013,Allied Irish Banks Plc,3
2013,Allied Irish Banks Plc T/A Aib International Financial Services,3
2013,Alltechnology (Ireland) Ltd.,1
2013,Alminna Wholesale Foods Limited,1
2013,Alnico Technologies,1
2013,Alpha Wireless Ltd,1
2013,Alps Electric (Ireland) Limited,1
2013,Altissimus Ltd,1
2013,Alto Food Merchants Ltd,1
2013,Am Technical Solutions Inc,1
2013,Amazon Data Services Ireland Ltd,44
2013,Ambassador Court Ltd T/A Charleville Park Hotel,1
2013,American Power Conversion Corporation (Apc) B.V.,1
2013,Amgen Technology (Ireland) Ltd,14
2013,Amigo'S Ristorante Ltd,2
2013,Ammado Internet Services Limited,1
2013,Ammeon Ltd,1
2013,Anacapa Holdings Ltd T/A Free-Hotspot.Com,1
2013,Analog Devices International,4
2013,Analytic Partners Limited,2
2013,Anglo Beef Processors Ireland,4
2013,Anglo Irish Beef Processors (Waterford),1
2013,Anne Wilson,1
2013,Anphabe Ltd,1
2013,Anthony Locke/John Delaney/ Patrick Thorpe,1
