id_county,Year,County,Issued,Refused,Withdrawn
2018Carlow,2018,Carlow,18,2,4
2018Cavan,2018,Cavan,182,8,10
2018Clare,2018,Clare,90,18,6
2018Cork,2018,Cork,1145,123,57
2018Donegal,2018,Donegal,186,21,18
2018Dublin,2018,Dublin,7341,600,281
2018Galway,2018,Galway,567,58,21
2018Kerry,2018,Kerry,222,11,9
2018Kildare,2018,Kildare,375,68,14
2018Kilkenny,2018,Kilkenny,192,10,10
2018Laois,2018,Laois,71,6,3
2018Leitrim,2018,Leitrim,22,2,2
2018Limerick,2018,Limerick,546,56,15
2018Longford,2018,Longford,49,14,1
2018Louth,2018,Louth,419,31,12
2018Mayo,2018,Mayo,170,16,8
2018Meath,2018,Meath,170,25,5
2018Monaghan,2018,Monaghan,103,4,9
2018Offaly,2018,Offaly,128,14,6
2018Roscommon,2018,Roscommon,95,15,2
2018Sligo,2018,Sligo,125,12,2
2018Tipperary,2018,Tipperary,199,15,12
2018Waterford,2018,Waterford,524,20,6
2018Westmeath,2018,Westmeath,171,19,10
2018Wexford,2018,Wexford,217,37,5
2018Wicklow,2018,Wicklow,68,32,9
2018Others,2018,Others,3,10,5
