Year,Month,Company,Total
2018,Jan,360 Degrees Cycles Ltd.,1
2018,Jan,3D4Medical Limited,1
2018,Jan,Aarc (Management Consultants) Limited,1
2018,Jan,Abbott Ireland,1
2018,Jan,Abbott Ireland (Irish Branch),1
2018,Jan,Abdeslam Ennaoui,1
2018,Jan,Accela Ireland Limited,1
2018,Jan,Accenture Global Solutions Limited,3
2018,Jan,Accenture Limited,38
2018,Jan,Activision Blizzard Ireland Ltd,2
2018,Jan,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,4
2018,Jan,Admiral Restaurant Limited,1
2018,Jan,Aer Lingus (Ireland) Limited,1
2018,Jan,Agile Networks Limited,1
2018,Jan,Aig Europe Limited,2
2018,Jan,Ak & Ka Ventures Limited,1
2018,Jan,Allanbay Ltd,2
2018,Jan,Alliance Medical Diagnostic Imaging Ltd,1
2018,Jan,Alpha Automation & Controls Limited,1
2018,Jan,Alps Electric (Ireland) Ltd,1
2018,Jan,Amazon Data Services Ireland Ltd,13
2018,Jan,Amazon Web Services Ireland Ltd,5
2018,Jan,Amdocs Software Systems Limited,1
2018,Jan,Andreia Do Nascimento Bittencourt,1
2018,Jan,Anglo Beef Processors Ireland,2
2018,Jan,Anthony Locke/John Delaney/ Patrick Thorpe,1
2018,Jan,Aoshima Food Limited,1
2018,Jan,Apple Distribution International,6
2018,Jan,Apple Operations Europe,1
2018,Jan,Aptech Business Systems Ltd T/A Intact Software,2
2018,Jan,Aptiv Global Operations Ltd,1
2018,Jan,Aqua Tt Uetp Limited,1
2018,Jan,Ardmore Shipping Services (Ireland) Ltd,1
2018,Jan,Arisglobal Limited,1
2018,Jan,Arista Networks Limited,1
2018,Jan,Arthur Cox Unlimited Company,1
2018,Jan,Aspen Pharma Ireland Ltd,1
2018,Jan,Aspire Technology Limited,1
2018,Jan,Assistive Technology Group Limited,1
2018,Jan,Associated Newspapers (Ireland) Limited,2
2018,Jan,Atlantic Troy Ltd,1
2018,Jan,Avec Logistics (Ireland) Limited T/A Ceva Logistics,1
2018,Jan,Ayush Ishita Ltd,1
2018,Jan,Bank Of Ireland Group Plc,1
2018,Jan,Barnardos - Republic Of Ireland Ltd,1
2018,Jan,Bdo,1
2018,Jan,Beacon Hospital Sandyford Ltd,8
2018,Jan,Beaumont Hospital,9
2018,Jan,Becton Dickinson Research Centre Ireland Ltd,3
2018,Jan,Bell Pepper Ireland Limited,1
2018,Jan,Berkley Recruitment (Group) Limited,1
2018,Jan,Bijou Catering Ltd (Bijou Restaurant),1
2018,Jan,Bioatlantis Ltd,1
2018,Jan,Bishopscourt Residential Care Ltd.,1
2018,Jan,Bizlink Technology (Ireland) Ltd.,1
2018,Jan,Black Box Software Development Services Limited,1
2018,Jan,Blackrock Clinic,1
2018,Jan,Blizzard Entertainment Ireland Ltd,1
2018,Jan,Bloomfield Care Centre Ltd,6
2018,Jan,Blue Face Ltd T/A Blueface,1
2018,Jan,Blueprint Wireless Limited,1
2018,Jan,Bmw Automotive Ireland Limited,1
2018,Jan,Bolden Nursing Limited,4
2018,Jan,Bon Secours Health System Clg,1
2018,Jan,Bon Secours Health System Company Limited By Guarantee,3
2018,Jan,Bon Secours Health Systems,8
2018,Jan,Borderfree Limited,1
2018,Jan,Borris Lodge Nursing Home Ltd,1
2018,Jan,Boulder Media Ltd,5
2018,Jan,Brentech Data Systems Limited,1
2018,Jan,Brightwater Selection(Irl)Ltd.,1
2018,Jan,Brookfield Care Services Limited,2
2018,Jan,Brown Bag Films Unlimited Company,1
2018,Jan,Bt Communications Ireland Limited,1
2018,Jan,Business Objects Software Ltd,2
2018,Jan,Capgemini Sogeti Ireland Ltd,10
2018,Jan,Capital Estate Management Limited,1
2018,Jan,Carechoice Clonakilty,1
2018,Jan,Carechoice Macroom,1
2018,Jan,Caring Hands Ltd,1
2018,Jan,Cavan General Hospital,8
2018,Jan,Cavan Monaghan Mental Health Service,2
2018,Jan,Ccb Leasing (Intl) Corporation Limited,1
2018,Jan,Celignis Limited,1
2018,Jan,Cellix Limited,1
2018,Jan,Celtrak Limited,1
2018,Jan,Central Mental Hospital,1
2018,Jan,Centric Health Primary Care Limited,1
2018,Jan,Cerner Ireland Ltd,1
2018,Jan,Chanelle Pharmaceuticals Manufacturing Ltd,1
2018,Jan,Chip Electronic Services Limited,1
2018,Jan,Citibank Europe Plc,6
2018,Jan,Clanwilliam Health Limited,1
2018,Jan,Clanwilliam Health Ltd,1
2018,Jan,Client Solutions Limited,1
2018,Jan,Club Travel Ltd.,1
2018,Jan,Codec-Dss Limited,6
2018,Jan,Cognizant Technology Solutions Ireland Limited,15
2018,Jan,Concentric Data Services Ltd,1
2018,Jan,Connelly Partners Integrated Europe Ltd,1
2018,Jan,Connolly Hospital,2
2018,Jan,Content Collector Ireland Ltd.,1
2018,Jan,Coolmine Healthcare Limited,1
2018,Jan,Core Computer Consultants Limited,1
2018,Jan,Cork University Hospital,32
2018,Jan,"Corvil, Ltd.",1
2018,Jan,Creative Supply Chain Dac,1
2018,Jan,Crh Group Services Limited,1
2018,Jan,Crowley Mccarthy Clonakilty Unlimited Company,1
2018,Jan,Cubic Telecom Ltd,1
2018,Jan,Cuil Didin Ltd,2
2018,Jan,Cummer Care Ltd,1
2018,Jan,Cup Print Unlimited,1
2018,Jan,Dansar Care Limited,1
2018,Jan,Dawn Meats Ireland,1
2018,Jan,Db Service Centre Limited,1
2018,Jan,Dealgan House Nursing Home Ltd,1
2018,Jan,Decawave Limited,1
2018,Jan,Dell Products Unlimited Company,1
2018,Jan,Deloitte,1
2018,Jan,Deloitte Technology Solutions Limited,2
2018,Jan,Delphi Global Operations Limited,4
2018,Jan,Demonware Ltd.,2
2018,Jan,Depuy Ireland,1
2018,Jan,Dereenatra Holdings Ltd T/A Tipperary Co-Op Supervalu,1
2018,Jan,Digit Game Studios Ltd,1
2018,Jan,Digital Crew Ltd,2
2018,Jan,Digital Signal 3 (Ds3) Media Limited,1
2018,Jan,Dingshi Ltd,1
2018,Jan,Dita Eyewear Europe Limited,1
2018,Jan,Dnm Technology Ltd,1
2018,Jan,Dropbox International Unlimited Company,1
2018,Jan,Dublin Mid Leinster Mental Health Services,2
2018,Jan,Dublin North City Mental Health Services,5
2018,Jan,E-Pire Limited,1
2018,Jan,Eightytwenty Customer Experience Limited,1
2018,Jan,Eldabane Properties Limited,1
2018,Jan,Eldabane Properties Ltd,1
2018,Jan,Electricity Supply Board,2
2018,Jan,Elephants Don'T Forget Limited,1
2018,Jan,Eli Lilly Kinsale Limited,2
2018,Jan,Eliza Care Ltd,1
2018,Jan,Emaint Emea Limited,1
2018,Jan,Emc Information Systems International,2
2018,Jan,Emergenetics Europe Limited,1
2018,Jan,Emerson Process Management Limited,3
2018,Jan,Eml Architects Ltd,1
2018,Jan,Enclude Company Limited By Guarantee,1
2018,Jan,"Engis Technologies, Inc.",1
2018,Jan,Enhance Dental Limited,1
2018,Jan,Enterprise Registry Solutions Ltd,1
2018,Jan,Enterprise System Partners Limited,1
2018,Jan,Eochiall Enterprises Limited,1
2018,Jan,Equifax Technology (Ireland) Limited,5
2018,Jan,Ernst & Young,18
2018,Jan,Ervia Energy Trading Limited,1
2018,Jan,Euro Care Healthcare Limited,1
2018,Jan,Euro Insurances Dac,1
2018,Jan,European Refreshments,1
2018,Jan,Facebook Ireland Limited,12
2018,Jan,Fainleog Teoranta,2
2018,Jan,Financial News And Media Global Limited,1
2018,Jan,Fineos Corporation,5
2018,Jan,Fireeye Ireland Limited,1
2018,Jan,Firstcare Ireland Blainroe Limited,1
2018,Jan,Fisc Ireland Ltd.,1
2018,Jan,Fleetmatics Ireland Limited,11
2018,Jan,Fonua Ltd.,1
2018,Jan,Foxberry Limited,2
2018,Jan,Fundtech India Pvt Limited,1
2018,Jan,Galway County Council,1
2018,Jan,Galway Roscommon Mental Health Service,5
2018,Jan,Galway University Hospital,15
2018,Jan,Game On Media Limited,1
2018,Jan,General Audit Tool Limited,1
2018,Jan,Gerson Lehrman Group (Ireland) Limited,1
2018,Jan,Glassdoor Hiring Solutions Ireland Limited,1
2018,Jan,Glenn Anthony Ltd,1
2018,Jan,Globe Technical Services Limited,10
2018,Jan,Gofundme Ireland Limited,2
2018,Jan,Gold Falcon Catering ( Ireland ) Ltd,1
2018,Jan,Gomapped Limited,1
2018,Jan,Google Ireland Limited,24
2018,Jan,Goosebump Limited,1
2018,Jan,Gorta,1
2018,Jan,Grant Thornton,12
2018,Jan,Grant Thornton Corporate Finance Limited,3
2018,Jan,Greenfinch Technology Ltd,1
2018,Jan,Greenmast Limited,2
2018,Jan,Groupon International Limited,3
2018,Jan,Guidewire Software (Ireland) Limited,5
2018,Jan,Hal Software,1
2018,Jan,Hannah Flynn,1
2018,Jan,Harvey Norman Trading (Ireland) Limited,1
2018,Jan,Haven Bay Care Centre Ltd,1
2018,Jan,Hbe Medical Services Ltd,1
2018,Jan,Hbv Ireland Ltd,1
2018,Jan,Hcl (Ireland) Information Systems Limited,1
2018,Jan,Hcl Technologies Limited,15
2018,Jan,Health Service Executive,3
2018,Jan,Health Service Executive Mid West Mental Health Services,1
2018,Jan,Healy Kelly Turner & Townsend Ltd,1
2018,Jan,Hedgefacts International Limited,1
2018,Jan,Hermitage Clinic Limited,4
