Year,Company,Total
2012,3 Leaves Technology Ltd.,2
2012,3V Transaction Services Ltd.,1
2012,A & F Hollister Ireland Ltd T/A Hollister,2
2012,A One Smart Deals Limited,1
2012,A T & T Global Network Services Ireland Limited,1
2012,Aashim Bajaj T/A The Cinnamon Garden,1
2012,Abb Ltd,1
2012,Abbey Hospitality Limited,2
2012,Abbott Ireland,4
2012,Abbott Mature Products Management Ltd,2
2012,Abbvie Ireland Nl Bv,1
2012,"Ac Nielsen Of Ireland Ltd.,",1
2012,Accenture,9
2012,Accenture Global Services Limited,1
2012,Accenture Llp,8
2012,Accenture Uk Limited,1
2012,Accenture(Ifsc),36
2012,Accuris,1
2012,Aclare House Nursing Home,1
2012,Acorn Lodge,1
2012,Acorn Sales & Distribution Ltd.,1
2012,Active Mind Technology Ltd,1
2012,Adaptive Mobile Security Limited.,1
2012,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,1
2012,Adobe Systems Software Ireland Ltd,1
2012,Aegon Scottish Equitable International (Dublin),2
2012,Aej European Agency Limited,1
2012,Aer Lingus Limited,1
2012,Agri Autoparts Kerry Ltd,1
2012,Ai Chung Chen & Fangbin Chen,1
2012,Aib Bank Catering Dept,1
2012,Aib Group,1
2012,Aidan Doherty Transport,1
2012,Aim Cash & Carry,3
2012,Aine Collins,1
2012,Aircastle Advisor Ireland Ltd,1
2012,Airspeed Communications T/A Airspeed Telecom,1
2012,Airvod Limited,2
2012,Akash Restaurant Trading Ltd,1
2012,Akeview Ltd T/A Yellow Pepper,1
2012,Al-Maktoum Foundation Ltd/Islamic Cultural Centre,1
2012,Alamgir Abdur Rahim,1
2012,Alan And Pauline Smith,1
2012,Alan Smith,1
2012,Alcatel-Lucent Ireland Ltd,5
2012,Alcon Laboratories Ireland Limited,3
2012,Alex Long Thanh To,1
2012,Alison Obernik,1
2012,Allanbay Ltd,6
2012,Allergan Services International Limited,1
2012,Allergy Counts Ltd,1
2012,Alliance Select Services Ltd,1
2012,Allianz Global Life Limited,1
2012,Allianz Worldwide Care,4
2012,Allianz Worldwide Care Limited,1
2012,Allied Irish Banks Plc T/A Aib International Financial Services,3
2012,Alpenberg Ltd,1
2012,Alpha Wireless Ltd,1
2012,Alps Electric (Ireland) Limited,1
2012,Amazon Cs Ireland Ltd,1
2012,Amazon Data Services Ireland Ltd,17
2012,Amber Health Care Ltd,1
2012,Amgen Technology (Ireland) Ltd,13
2012,Ammeon Ltd,6
2012,Amol Pathak,1
2012,Amt Sybex (Software) Limited,1
2012,Analog Devices,6
2012,Ancestry Information Operations Company,3
2012,Angie & Ricky Lee,1
2012,Anglo Beef Processors Ireland,43
2012,Anglo Irish Beef Processors International,4
2012,Annabeg Enterprises,1
2012,Anne Marie Curtin,1
2012,Anne Marie Doyle T/A Carousel Day Nursery,1
2012,Anthony J Martin,1
2012,Anthony Mullins,1
2012,Anthony Williams,1
2012,Antonio Persechini,1
2012,Aol Technologies Ireland Limited,6
2012,Aon Commercial Services And Operations Ireland Ltd,1
2012,Aon Spásúil Ltd,1
2012,Apollo Aviation Management Limited,1
2012,Apple Distribution International,2
2012,Apple Operations,1
2012,Apple Operations Europe,2
2012,Applus Car Testing Service Limited,1
2012,Arc Adoption Ltd.,1
2012,Arch Mortgage Insurance Ltd.,1
2012,Arch Reinsurance Europe Underwriting Limited,1
2012,Ard Na Rì Nursing Home Ltd,2
2012,Ard Services Limited,6
2012,Ardeeshal Lodge Limited,2
2012,Ardmac Ltd(Santry),1
2012,Arisglobal Limited,1
2012,Arnaudpatrice Ltd,1
