Year,Company,Total
2010,123 Money Ltd T/A 123.Ie,0
2010,1St Option Models Ltd,1
2010,20/20 Vision Ltd,1
2010,20:20 Imaging Limited,1
2010,21St Century Web Design,1
2010,365 Hosting Ltd T/A Hosting 365,1
2010,747 Travel,1
2010,A & A Cronin Movers Limited,1
2010,A Team Tree Services Ltd,2
2010,A Wash,1
2010,A-Rated Design & Build Ltd,1
2010,A.R.M.L. Cleaning Ltd,1
2010,A.Y.S. Cleaning Limited,1
2010,A1 Appliances,1
2010,Aarval Ltd T/A Mcdonalds Restaurant,2
2010,Aashim Bajaj T/A The Cinnamon Garden,1
2010,Abacus Systems & Networks Ltd,0
2010,Abbar Ltd,0
2010,Abbey Breaffy Nursing Home Ltd,1
2010,Abbey Fuels Limited,3
2010,Abbey Healthcare,2
2010,Abbey Lands Nursing Home And Alzheimers Unit Limited,3
2010,Abbey Theatre (Amharclann Na Mainstreach),2
2010,Abbeybreaffy Nursing Home,4
2010,Abbott Ireland,9
2010,Abbott Laboratories (Irl) Ltd.,1
2010,Abbott Mature Products Management Ltd,2
2010,Abc Cleaning Services & Supplies Ltd,3
2010,Ability West,1
2010,Abm Construction Ltd,1
2010,About Time Ltd,1
2010,Abrakebabra Ltd (Kebab Fast Food Ltd),1
2010,Abs Production Wexford Limited,1
2010,Absolute Retail Control,1
2010,Abul Abul Khan T/A Basmati Restaurant,1
2010,"Ac Nielsen Of Ireland Ltd.,",1
2010,Accenture,30
2010,Accenture(Ifsc),1
2010,Accutool Ltd,4
2010,Aclare House Nursing Home,5
2010,Acoustic Technologies Ltd,1
2010,Acra Control Ltd,3
2010,Acrefield Ltd T/A Supervalu Aylesbury,1
2010,Action Alarms Ltd T/A Action Security Systems,1
2010,Acushla Ltd T/A The Embassy Rooms,1
2010,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,30
2010,Aer Lingus Limited,2
2010,Africa Solidarity Centre Ltd,1
2010,Agra Trading Limited,1
2010,Ahp Manufacturing Bv T/A Wyeth Medica Irl,1
2010,Aib Group,1
2010,Aibp (Waterford),16
2010,Aibp Bandon,8
2010,Aibp Limited,2
2010,Aibp Limited T/A Aibp Cahir,24
2010,Aibp Ltd (Rathkeale),12
2010,Aibp Nenagh,10
2010,Aidan Doherty Transport,1
2010,"Ailesbury Contract Cleaning Ltd.,",3
2010,Ailesbury Private Nursing Home,7
2010,Aim Cash & Carry,8
2010,Aimen Private Ltd,1
2010,Air Atlanta Aero Engineering Ltd,7
2010,Air Con Engineering Ltd,1
2010,Airflow Air Refrigeration (Galway) Ltd.,1
2010,Airspeed Communications T/A Airspeed Telecom,1
2010,Ajk Restaurant Limited T/A Kebabish Original,1
2010,Ajk Restaurant Limited T/A Sala Thai,1
2010,Akeview Ltd T/A Yellow Pepper,1
