id_sector,Year,Month,Sector,Issued,Refused,Withdrawn
2010JanAgriculture_&_Fisheries,2010,Jan,Agriculture & Fisheries,37,10,2
2010JanCatering,2010,Jan,Catering,121,41,9
2010JanDomestic,2010,Jan,Domestic,11,3,0
2010JanEducation,2010,Jan,Education,14,2,0
2010JanEntertainment,2010,Jan,Entertainment,10,0,0
2010JanIndustry,2010,Jan,Industry,60,9,2
2010JanMedical_&_Nursing,2010,Jan,Medical & Nursing,224,17,3
2010JanService_Industry,2010,Jan,Service Industry,269,34,4
2010JanSport,2010,Jan,Sport,7,3,0
2010FebAgriculture_&_Fisheries,2010,Feb,Agriculture & Fisheries,33,18,3
2010FebCatering,2010,Feb,Catering,122,23,1
2010FebDomestic,2010,Feb,Domestic,10,1,0
2010FebEducation,2010,Feb,Education,15,2,0
2010FebEntertainment,2010,Feb,Entertainment,1,1,0
2010FebIndustry,2010,Feb,Industry,69,9,1
2010FebMedical_&_Nursing,2010,Feb,Medical & Nursing,165,15,1
2010FebService_Industry,2010,Feb,Service Industry,272,32,4
2010FebSport,2010,Feb,Sport,6,2,1
2010MarAgriculture_&_Fisheries,2010,Mar,Agriculture & Fisheries,30,14,0
2010MarCatering,2010,Mar,Catering,107,56,9
2010MarDomestic,2010,Mar,Domestic,9,2,0
2010MarEducation,2010,Mar,Education,12,3,1
2010MarEntertainment,2010,Mar,Entertainment,3,0,0
2010MarIndustry,2010,Mar,Industry,75,12,2
2010MarMedical_&_Nursing,2010,Mar,Medical & Nursing,169,21,1
2010MarService_Industry,2010,Mar,Service Industry,246,56,12
2010MarSport,2010,Mar,Sport,9,3,0
2010AprAgriculture_&_Fisheries,2010,Apr,Agriculture & Fisheries,36,4,0
2010AprCatering,2010,Apr,Catering,86,18,4
2010AprDomestic,2010,Apr,Domestic,5,1,0
2010AprEducation,2010,Apr,Education,13,0,0
2010AprEntertainment,2010,Apr,Entertainment,8,0,0
2010AprIndustry,2010,Apr,Industry,47,9,2
2010AprMedical_&_Nursing,2010,Apr,Medical & Nursing,129,9,4
2010AprService_Industry,2010,Apr,Service Industry,290,22,10
2010AprSport,2010,Apr,Sport,12,1,0
2010MayAgriculture_&_Fisheries,2010,May,Agriculture & Fisheries,13,2,0
2010MayCatering,2010,May,Catering,92,19,5
2010MayDomestic,2010,May,Domestic,4,2,0
2010MayEducation,2010,May,Education,12,2,1
2010MayEntertainment,2010,May,Entertainment,4,0,0
2010MayIndustry,2010,May,Industry,67,4,0
2010MayMedical_&_Nursing,2010,May,Medical & Nursing,103,3,2
