Year,County,Issued,Refused,Withdrawn
2016,Carlow,14,7,0
2016,Cavan,118,7,1
2016,Clare,72,24,1
2016,Cork,733,108,16
2016,Donegal,197,17,0
2016,Dublin,5310,688,123
2016,Galway,365,76,10
2016,Kerry,128,27,1
2016,Kildare,360,37,13
2016,Kilkenny,102,9,2
2016,Laois,49,3,3
2016,Leitrim,3,1,0
2016,Limerick,428,48,8
2016,Longford,28,5,0
2016,Louth,192,48,5
2016,Mayo,139,6,3
2016,Meath,149,45,6
2016,Monaghan,46,3,2
2016,Offaly,71,5,0
2016,Roscommon,61,15,1
2016,Sligo,114,1,0
2016,Tipperary,152,49,0
2016,Waterford,166,12,1
2016,Westmeath,116,26,2
2016,Wexford,102,16,0
2016,Wicklow,52,30,3
2016,Others,106,8,5
