Year,Company,Total
2016,3 Leaves Technology Ltd.,1
2016,3D Issue Limited,3
2016,4D Pharma Cork Limited,2
2016,4Efulfillment.Com Ltd T/A 4Giftsdirect.Com,1
2016,4Tech Cardio Ireland Ltd,1
2016,A & A Billey Catering Ltd,1
2016,A & D Wejchert & Partners Limited,1
2016,A Aabound Limited,1
2016,A New Support Services Company Limited By Guarantee,1
2016,A.M. Higher Education Ireland Ltd.,2
2016,Aa Ireland Limited,5
2016,Abb Ltd,2
2016,Abbey Breaffy Nursing Home Ltd,4
2016,Abbey Lands Nursing Home And Alzheimers Unit Limited,2
2016,Abbot Close Nursing Home Limited,2
2016,Abbott Ireland,20
2016,Abbvie Ireland Nl Bv,9
2016,Abc Living Ltd.,1
2016,Abdelhamid Elghoraiby,1
2016,Abec Technologies Europe Ltd,9
2016,Ability Software Ltd,2
2016,Absolute Drain Services Limited,1
2016,Absorb Technology Limited,1
2016,"Ac Nielsen Of Ireland Ltd.,",1
2016,Academy Of Financial Trading Education Ltd,1
2016,Accenture,166
2016,Accenture Global Solutions Limited,20
2016,Accipiter Holdings Limited,1
2016,Accutool Ltd,1
2016,Aclare House Nursing Home,1
2016,Acra Control Limited,1
2016,Acrobat Investments Limited,1
2016,Action Point Innovation Ltd.,2
2016,Activision Blizzard Ireland Ltd,6
2016,Adalma Ltd.,3
2016,Adamsgold Limited,3
2016,Adaptemy Limited,1
2016,Adaptics Limited,1
2016,Adaptive Metadata Technologies (International) Ltd,1
2016,Adaptive Mobile Security Limited.,2
2016,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,100
2016,Adia Limited,1
2016,Adobe Systems Software Ireland Ltd,4
2016,Adroll Advertising Limited,2
2016,Advance Systems International Ltd.,1
2016,Advanced Point Limited,1
2016,Aebe Limited,2
2016,Aecom Infrastructure & Environment Ireland Ltd,1
2016,Aegon Ireland Plc,3
2016,Aercap Holdings N.V.,2
2016,Aercap Ireland Limited,10
2016,Affidea Diagnostics Ireland Limited,4
2016,Afilias Technologies Limited,2
2016,Afillz International Limited,1
2016,Aftab Currency Exchange Limited,1
2016,Agb Nielsen Media Research Ireland Limited,1
2016,Agrigear Ltd.,1
2016,Ahmad Hasan,1
2016,Aibp Nenagh,3
2016,Aig Europe Limited,2
2016,Ailesbury I.T. Limited,2
2016,Airbnb Ireland Ltd,3
2016,Ak & Ka Ventures Limited,1
2016,"Akhtar, Shamin",2
2016,Al Buraq Traders Ltd,1
2016,Alcatel-Lucent Ireland Ltd,14
2016,Alekto Ltd,1
2016,Alere International Ltd,1
2016,Alig'S Limited,1
2016,Alkermes Pharma Ireland Ltd,1
2016,All - Technology (Ireland) Ltd.,3
2016,All About Healthcare Ltd,1
2016,All Fresh Wholesale Ltd,1
2016,Allanbay Ltd,2
2016,Allenfield Care Homes Limited,1
2016,Allergan Pharmaceuticals International Ltd,1
2016,Alliance Medical Diagnostic Imaging Ltd,7
2016,Allianz Managed Operations & Services Se,2
2016,Allianz Plc.,2
2016,Allianz Worldwide Care Limited,1
2016,Allianz Worldwide Care Sa (Irish Branch),1
2016,Allied Irish Banks Plc,4
