id_sector,Year,Month,Sector,Issued,Refused,Withdrawn
2015MayService_Industry,2015,May,Service Industry,198,24,1
2015MaySport,2015,May,Sport,5,1,0
2015JunAgriculture_&_Fisheries,2015,Jun,Agriculture & Fisheries,4,0,0
2015JunCatering,2015,Jun,Catering,13,7,0
2015JunEducation,2015,Jun,Education,5,0,0
2015JunEntertainment,2015,Jun,Entertainment,2,1,0
2015JunExchange_Agreements,2015,Jun,Exchange Agreements,4,0,0
2015JunIndustry,2015,Jun,Industry,74,7,1
2015JunMedical_&_Nursing,2015,Jun,Medical & Nursing,490,1,7
2015JunService_Industry,2015,Jun,Service Industry,226,20,7
2015JunSport,2015,Jun,Sport,4,0,1
2015JulAgriculture_&_Fisheries,2015,Jul,Agriculture & Fisheries,2,1,0
2015JulCatering,2015,Jul,Catering,11,11,0
2015JulDomestic,2015,Jul,Domestic,1,0,0
2015JulEducation,2015,Jul,Education,12,0,0
2015JulEntertainment,2015,Jul,Entertainment,2,0,0
2015JulExchange_Agreements,2015,Jul,Exchange Agreements,8,0,0
2015JulIndustry,2015,Jul,Industry,79,9,1
2015JulMedical_&_Nursing,2015,Jul,Medical & Nursing,355,12,6
2015JulService_Industry,2015,Jul,Service Industry,219,23,2
2015AugCatering,2015,Aug,Catering,14,8,0
2015AugEducation,2015,Aug,Education,3,1,2
2015AugEntertainment,2015,Aug,Entertainment,2,1,0
2015AugIndustry,2015,Aug,Industry,64,6,0
2015AugMedical_&_Nursing,2015,Aug,Medical & Nursing,58,1,1
2015AugService_Industry,2015,Aug,Service Industry,148,27,3
2015AugSport,2015,Aug,Sport,2,0,0
2015SeptAgriculture_&_Fisheries,2015,Sept,Agriculture & Fisheries,6,1,1
2015SeptCatering,2015,Sept,Catering,21,15,0
2015SeptEducation,2015,Sept,Education,6,10,1
2015SeptEntertainment,2015,Sept,Entertainment,4,0,0
2015SeptIndustry,2015,Sept,Industry,169,12,2
2015SeptMedical_&_Nursing,2015,Sept,Medical & Nursing,151,17,4
2015SeptService_Industry,2015,Sept,Service Industry,375,63,25
2015SeptSport,2015,Sept,Sport,10,0,1
2015OctAgriculture_&_Fisheries,2015,Oct,Agriculture & Fisheries,6,2,1
2015OctCatering,2015,Oct,Catering,15,18,0
2015OctDomestic,2015,Oct,Domestic,0,1,0
2015OctEducation,2015,Oct,Education,5,1,2
2015OctEntertainment,2015,Oct,Entertainment,3,0,0
2015OctIndustry,2015,Oct,Industry,222,19,2
2015OctMedical_&_Nursing,2015,Oct,Medical & Nursing,221,23,4
2015OctService_Industry,2015,Oct,Service Industry,446,69,16
2015OctSport,2015,Oct,Sport,0,1,1
2015NovAgriculture_&_Fisheries,2015,Nov,Agriculture & Fisheries,4,4,0
2015NovCatering,2015,Nov,Catering,21,26,0
2015NovDomestic,2015,Nov,Domestic,1,2,0
2015NovEducation,2015,Nov,Education,5,1,0
2015NovEntertainment,2015,Nov,Entertainment,2,1,1
2015NovExchange_Agreements,2015,Nov,Exchange Agreements,2,1,0
2015NovIndustry,2015,Nov,Industry,207,16,2
2015NovMedical_&_Nursing,2015,Nov,Medical & Nursing,219,33,3
2015NovService_Industry,2015,Nov,Service Industry,276,55,4
2015NovSport,2015,Nov,Sport,1,0,0
2015DecAgriculture_&_Fisheries,2015,Dec,Agriculture & Fisheries,1,0,0
2015DecCatering,2015,Dec,Catering,7,4,0
2015DecDomestic,2015,Dec,Domestic,0,1,0
2015DecEducation,2015,Dec,Education,4,4,0
2015DecExchange_Agreements,2015,Dec,Exchange Agreements,1,0,0
2015DecIndustry,2015,Dec,Industry,89,10,1
2015DecMedical_&_Nursing,2015,Dec,Medical & Nursing,170,10,0
2015DecService_Industry,2015,Dec,Service Industry,163,42,1
2015DecSport,2015,Dec,Sport,0,1,0
