id_sector,Year,Month,Sector,Issued,Refused,Withdrawn
2015JanAgriculture_&_Fisheries,2015,Jan,Agriculture & Fisheries,1,0,0
2015JanCatering,2015,Jan,Catering,6,9,1
2015JanDomestic,2015,Jan,Domestic,1,0,0
2015JanEducation,2015,Jan,Education,2,0,0
2015JanEntertainment,2015,Jan,Entertainment,3,0,0
2015JanIndustry,2015,Jan,Industry,86,10,0
2015JanMedical_&_Nursing,2015,Jan,Medical & Nursing,204,20,6
2015JanService_Industry,2015,Jan,Service Industry,178,25,6
2015JanSport,2015,Jan,Sport,0,2,0
2015FebAgriculture_&_Fisheries,2015,Feb,Agriculture & Fisheries,2,1,0
2015FebCatering,2015,Feb,Catering,6,19,0
2015FebDomestic,2015,Feb,Domestic,0,1,0
2015FebEducation,2015,Feb,Education,4,4,0
2015FebEntertainment,2015,Feb,Entertainment,1,0,0
2015FebIndustry,2015,Feb,Industry,115,9,0
2015FebMedical_&_Nursing,2015,Feb,Medical & Nursing,84,6,2
2015FebService_Industry,2015,Feb,Service Industry,158,21,3
2015FebSport,2015,Feb,Sport,1,0,0
2015MarAgriculture_&_Fisheries,2015,Mar,Agriculture & Fisheries,3,1,0
2015MarCatering,2015,Mar,Catering,18,14,0
2015MarDomestic,2015,Mar,Domestic,2,0,0
2015MarEducation,2015,Mar,Education,6,1,1
2015MarEntertainment,2015,Mar,Entertainment,2,0,0
2015MarIndustry,2015,Mar,Industry,113,7,3
2015MarMedical_&_Nursing,2015,Mar,Medical & Nursing,122,18,9
2015MarService_Industry,2015,Mar,Service Industry,201,20,9
2015MarSport,2015,Mar,Sport,5,2,0
2015AprAgriculture_&_Fisheries,2015,Apr,Agriculture & Fisheries,5,3,0
2015AprCatering,2015,Apr,Catering,14,14,0
2015AprEducation,2015,Apr,Education,3,1,1
2015AprEntertainment,2015,Apr,Entertainment,2,1,0
2015AprIndustry,2015,Apr,Industry,134,14,2
2015AprMedical_&_Nursing,2015,Apr,Medical & Nursing,192,7,6
2015AprService_Industry,2015,Apr,Service Industry,414,31,6
2015AprSport,2015,Apr,Sport,6,0,1
2015MayAgriculture_&_Fisheries,2015,May,Agriculture & Fisheries,3,1,1
2015MayCatering,2015,May,Catering,15,11,0
2015MayDomestic,2015,May,Domestic,0,3,0
2015MayEducation,2015,May,Education,6,0,0
2015MayEntertainment,2015,May,Entertainment,2,0,0
2015MayExchange_Agreements,2015,May,Exchange Agreements,1,0,1
2015MayIndustry,2015,May,Industry,91,6,3
2015MayMedical_&_Nursing,2015,May,Medical & Nursing,213,2,2
