Year,Company,Total
2015,123 Money Ltd,2
2015,3 Leaves Technology Ltd.,1
2015,3D Issue Limited,1
2015,3V Transaction Services Ltd.,1
2015,4Efulfillment.Com Ltd T/A 4Giftsdirect.Com,2
2015,4Pm Kennedy Estates Limited,2
2015,6D Global Technologies Web & Data Solutions Ireland Limited,2
2015,A & C Food Distribution Limited,1
2015,A & D Wejchert & Partners Limited,1
2015,A T & T Global Network Services Ireland Limited,1
2015,Aarc (Management Consultants) Limited,1
2015,Abbey Breaffy Nursing Home Ltd,1
2015,Abbey Healthcare,1
2015,Abbey Lands Nursing Home And Alzheimers Unit Limited,1
2015,Abbott Ireland,2
2015,Abbvie Ireland Nl Bv,3
2015,Abbvie Ltd.,2
2015,Abec Technologies Europe Ltd,13
2015,Ability Software Ltd,2
2015,Abm Data Systems Ltd,1
2015,Acapulco Mexican Restaurant Ltd.,1
2015,Accenture,91
2015,Accountancy & Business College (Ireland) Limited,1
2015,Accts & Tech Limited,1
2015,Accuris,1
2015,Aceway,1
2015,Aclare House Nursing Home,1
2015,Acquirer Systems Ltd,2
2015,Acra Control Limited,1
2015,Action Point Innovation Ltd.,1
2015,Activation Energy Dsu Ltd,3
2015,Active Mind Technology Ltd,1
2015,Activision Blizzard Ireland Ltd,1
2015,Adam Franciszek Kazuro T/A Hub Solutions,1
2015,Adelaide & Meath Hospital Incorporating The National Children'S Hospital,61
2015,Admiral Restaurant Limited,2
2015,Adobe Systems Software Ireland Ltd,3
2015,Adroll Advertising Limited,3
2015,Ads Aviation Direct Services Limited,1
2015,Adstreaming Media Ltd,1
2015,Adtec Teoranta,1
2015,Adventure Publishing Limited,1
2015,Adverts Marketplace Limited,1
2015,Aegis Media Ireland Limited,1
2015,Aer Lingus Limited,1
2015,Aercap Ireland Limited,5
2015,Aerodocs Limited,1
2015,Aeroflex Ireland Limited,4
2015,Affero Lab Ireland Ltd.,1
2015,Affidea Diagnostics Ireland Limited,1
2015,Afilias Technologies Limited,1
2015,Agilent Technologies,1
2015,Aidan Lawlor,1
2015,Aidan Sawyer,1
2015,Aig Europe Limited,3
2015,Aine Collins,1
2015,Airbnb Ireland Ltd,5
2015,Airspeed Communications T/A Airspeed Telecom,1
2015,Ajcy Limited,1
2015,Ak & Ka Ventures Limited,1
2015,Alcatel-Lucent Ireland Ltd,7
2015,Aldi Stores Ireland Ltd.,1
2015,Alere International Ltd,1
2015,Alexion Pharma International Trading,1
2015,Algae Health Limited,1
2015,Alig'S Limited,1
2015,All - Technology (Ireland) Ltd.,1
2015,Allenfield Care Homes Limited,1
2015,Allenfield Care Homes Ltd,1
2015,Alliance Medical Diagnostic Imaging Ltd,2
2015,Allianz Worldwide Care Limited,1
2015,Allianz Worldwide Care Sa (Irish Branch),4
2015,Allied Irish Banks Plc,7
2015,Alltechnology (Ireland) Ltd.,1
2015,Alpha Wireless Ltd,2
2015,Alps Electric (Ireland) Limited,2
2015,Altion Ltd,3
2015,Altissimus Ltd,1
2015,Aluset Ltd,1
2015,Amaris Limited,1
2015,Amax Information Technologies Limited,1
2015,Amazon Cs Ireland Ltd,3
2015,Amazon Data Services Ireland Ltd,114
2015,Amber Health Care Ltd,3
2015,Amdocs Software Systems Limited,5
2015,Ameduway Ltd,1
2015,Ameer Hamza,1
2015,Amentum Capital Ltd,1
2015,Amgen Technology (Ireland) Ltd,7
2015,Amisoft Technologies Ireland Pvt Limited,3
2015,Ammeon Ltd,4
2015,Ampm Property Services Limited,1
2015,Analog Devices International,2
2015,Analytic Partners Limited,1
2015,Anecto Ltd,1
2015,Anh Healthcare Ltd.,1
2015,Anphabe Ltd,1
2015,Antonio Cascella And Valerie Cascella,1
2015,Aol Global Operations Limited,7
2015,Aol Technologies (Ireland) Limited,11
2015,Aon Centre For Innovation & Analytics Limited,5
2015,Apico Technologies Limited,3
2015,Aplix Ireland Limited,1
2015,Appirio Limited,2
2015,Apple Distribution International,15
2015,Apple Operations Europe-Irish Branch,10
2015,Applied Communications (Ireland) Limited,1
2015,Applied Materials Ireland Ltd,16
2015,Approach People Recruitment Limited,1
2015,Aras Slainte Ltd,1
2015,Arcadia Group (Ireland) Ltd,1
2015,Arcroyal Limited,2
2015,Ardeeshal Lodge Limited,2
2015,Aricent Ireland Pvt Limited,4
2015,Aricent Technologies,4
2015,Arisu Korean Restaurant Limited,1
2015,Arklow Tax And Bookeeping Limited,1
2015,Armada Hotel Holdings Ltd,1
2015,Arvato Finance Services Ltd,29
2015,Ashlawn House Nursing Home,1
2015,Ashling Microsystems Ltd,2
2015,Ashok & Arshad & Anwar Ventures Limited,1
2015,Ask Fm Europe Limited,1
2015,Asml Ireland Limited,24
2015,Aspen Pharma Ireland Ltd,1
2015,Aspen Pharma Trading Limited,2
2015,Aspen Ventures Limited,1
2015,Aspera Solutions Ltd.,1
2015,Assemblypoint Limited,1
2015,Astec Global Consultancy Limited,1
2015,Astellas Ireland Ltd,3
2015,Async Technologies Ltd,4
2015,Asystec Limited,1
2015,Athlone Pharmaceuticals Ltd,2
2015,Athlunkard Nursing Home,1
2015,Atlanta Private Nursing Home Limited,3
2015,Atlas Language Institute T/A Atlas Language School,1
2015,Atlas Travel Services Ltd,1
2015,Atos It Solutions And Services Limited,1
2015,Audiology Hearing Aid Services Ltd,2
2015,Aughinish Alumina Ltd,3
2015,Auto Records Ltd,1
2015,Automatic Netware Ltd,1
2015,Av Pound & Co. Ltd,1
2015,Avaya International Sales Ltd,9
2015,Aviation Services (Ireland) Ltd,1
2015,Aviva Group Services Ireland Limited,3
2015,Aylien Ltd.,1
2015,B'Music,1
2015,B.M.C. (Nursing Home) Limited,1
2015,Bae Systems Applied Intelligence (Ireland) Limited,3
2015,Balbriggan Cricket Club,1
2015,Balkania Limited,1
2015,Ballincurrig Care Centre Ltd,5
2015,Balsam International Ltd,1
2015,Bank Of America Merrill Lynch International Ltd. - Dublin Branch,3
2015,Bank Of Ireland,4
2015,Bankhawk Ltd,2
2015,Barberstown Holdings Ltd T/A Barberstown Castle,1
2015,Barnacyle Nursing Home Ltd T/A Thorpe'S Nursing Home,2
2015,Barnardos - Republic Of Ireland Ltd,1
2015,Barrett Mahony Consulting Engineers Ltd,1
2015,Barricade Security Systems Limited,1
2015,Baxterstorey Ireland Ltd,1
2015,Bdo,2
2015,Beacon Hospital Sandyford Limited,17
2015,Beanbagsports Malta Limited,1
2015,Beaumont Hospital,74
2015,Beckman Coulter Irl Ltd,1
2015,Beech Lodge Care Facility Ltd,2
2015,Beech Tree Healthcare Limited,2
2015,Beechfield Nursing Limited,2
2015,Beechwood House Nursing Home Limited,1
2015,Beefit Gyms Franchising Ltd,1
2015,Bell Advantage Limited,1
2015,Ben Lewis & Keith Talbot,1
2015,Beneavin House Limited,5
2015,Beneavin Lodge Ltd,2
2015,Benetel Limited,2
2015,Berkley Recruitment (Group) Limited,1
2015,Betts Recruiting Limited,1
2015,Big Wave Media Training Ltd,1
2015,Bimeda Holdings,1
2015,Bio-Medical Research Limited,2
2015,Bioatlantis Ltd,1
2015,Biomarin Manufacturing Ireland Ltd,1
2015,Bishopscourt Residential Care Ltd.,4
2015,Bishopstown Credit Union Ltd,1
2015,Blackrock Clinic,7
